"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Breast"	"26000"	"Nevada"	"32"	"2019"	"2019"	"75-79 years"	"75-79"	52	93866	55.4
	"Breast"	"26000"	"Nevada"	"32"	"2019"	"2019"	"80-84 years"	"80-84"	44	54864	80.2
	"Breast"	"26000"	"Nevada"	"32"	"2019"	"2019"	"85+ years"	"85+"	48	45059	106.5
	"Breast"	"26000"	"New Hampshire"	"33"	"2017"	"2017"	"60-64 years "	"60-64"	17	98818	17.2
	"Breast"	"26000"	"New Hampshire"	"33"	"2017"	"2017"	"65-69 years"	"65-69"	27	81408	33.2
	"Breast"	"26000"	"New Hampshire"	"33"	"2017"	"2017"	"70-74 years"	"70-74"	21	60381	34.8
	"Breast"	"26000"	"New Hampshire"	"33"	"2017"	"2017"	"85+ years"	"85+"	31	29896	103.7
	"Breast"	"26000"	"New Hampshire"	"33"	"2019"	"2019"	"50-54 years"	"50-54"	16	97051	16.5
	"Breast"	"26000"	"New Hampshire"	"33"	"2019"	"2019"	"55-59 years"	"55-59"	16	110318	14.5
	"Breast"	"26000"	"New Hampshire"	"33"	"2019"	"2019"	"60-64 years "	"60-64"	31	104078	29.8
	"Breast"	"26000"	"New Hampshire"	"33"	"2019"	"2019"	"65-69 years"	"65-69"	30	84873	35.3
	"Breast"	"26000"	"New Hampshire"	"33"	"2019"	"2019"	"70-74 years"	"70-74"	29	67540	42.9
	"Breast"	"26000"	"New Hampshire"	"33"	"2019"	"2019"	"75-79 years"	"75-79"	22	43650	50.4
	"Breast"	"26000"	"New Hampshire"	"33"	"2019"	"2019"	"80-84 years"	"80-84"	16	27143	58.9
	"Breast"	"26000"	"New Hampshire"	"33"	"2019"	"2019"	"85+ years"	"85+"	29	30308	95.7
	"Breast"	"26000"	"New Jersey"	"34"	"2017"	"2017"	"35-39 years"	"35-39"	19	575002	3.3
	"Breast"	"26000"	"New Jersey"	"34"	"2017"	"2017"	"40-44 years"	"40-44"	34	556405	6.1
	"Breast"	"26000"	"New Jersey"	"34"	"2017"	"2017"	"45-49 years"	"45-49"	52	615267	8.5
	"Breast"	"26000"	"New Jersey"	"34"	"2017"	"2017"	"50-54 years"	"50-54"	90	649086	13.9
	"Breast"	"26000"	"New Jersey"	"34"	"2017"	"2017"	"55-59 years"	"55-59"	126	646855	19.5
	"Breast"	"26000"	"New Jersey"	"34"	"2017"	"2017"	"60-64 years "	"60-64"	135	558060	24.2
	"Breast"	"26000"	"New Jersey"	"34"	"2017"	"2017"	"65-69 years"	"65-69"	116	447489	25.9
	"Breast"	"26000"	"New Jersey"	"34"	"2017"	"2017"	"70-74 years"	"70-74"	130	349125	37.2
	"Breast"	"26000"	"New Jersey"	"34"	"2017"	"2017"	"75-79 years"	"75-79"	132	239816	55.0
	"Breast"	"26000"	"New Jersey"	"34"	"2017"	"2017"	"80-84 years"	"80-84"	135	170143	79.3
	"Breast"	"26000"	"New Jersey"	"34"	"2017"	"2017"	"85+ years"	"85+"	270	202609	133.3
	"Breast"	"26000"	"New Jersey"	"34"	"2019"	"2019"	"35-39 years"	"35-39"	28	580198	4.8
	"Breast"	"26000"	"New Jersey"	"34"	"2019"	"2019"	"40-44 years"	"40-44"	30	557466	5.4
	"Breast"	"26000"	"New Jersey"	"34"	"2019"	"2019"	"45-49 years"	"45-49"	48	585025	8.2
	"Breast"	"26000"	"New Jersey"	"34"	"2019"	"2019"	"50-54 years"	"50-54"	90	616055	14.6
	"Breast"	"26000"	"New Jersey"	"34"	"2019"	"2019"	"55-59 years"	"55-59"	134	642468	20.9
	"Breast"	"26000"	"New Jersey"	"34"	"2019"	"2019"	"60-64 years "	"60-64"	141	581090	24.3
	"Breast"	"26000"	"New Jersey"	"34"	"2019"	"2019"	"65-69 years"	"65-69"	142	461753	30.8
	"Breast"	"26000"	"New Jersey"	"34"	"2019"	"2019"	"70-74 years"	"70-74"	153	372896	41.0
	"Breast"	"26000"	"New Jersey"	"34"	"2019"	"2019"	"75-79 years"	"75-79"	121	262470	46.1
	"Breast"	"26000"	"New Jersey"	"34"	"2019"	"2019"	"80-84 years"	"80-84"	138	176875	78.0
	"Breast"	"26000"	"New Jersey"	"34"	"2019"	"2019"	"85+ years"	"85+"	229	202189	113.3
	"Breast"	"26000"	"New Mexico"	"35"	"2017"	"2017"	"55-59 years"	"55-59"	25	140468	17.8
	"Breast"	"26000"	"New Mexico"	"35"	"2017"	"2017"	"60-64 years "	"60-64"	45	133961	33.6
	"Breast"	"26000"	"New Mexico"	"35"	"2017"	"2017"	"65-69 years"	"65-69"	33	119975	27.5
	"Breast"	"26000"	"New Mexico"	"35"	"2017"	"2017"	"70-74 years"	"70-74"	38	90636	41.9
	"Breast"	"26000"	"New Mexico"	"35"	"2017"	"2017"	"75-79 years"	"75-79"	35	61194	57.2
	"Breast"	"26000"	"New Mexico"	"35"	"2017"	"2017"	"80-84 years"	"80-84"	32	41006	78.0
	"Breast"	"26000"	"New Mexico"	"35"	"2017"	"2017"	"85+ years"	"85+"	40	39851	100.4
	"Breast"	"26000"	"New Mexico"	"35"	"2019"	"2019"	"45-49 years"	"45-49"	17	117359	14.5
	"Breast"	"26000"	"New Mexico"	"35"	"2019"	"2019"	"50-54 years"	"50-54"	19	118106	16.1
	"Breast"	"26000"	"New Mexico"	"35"	"2019"	"2019"	"55-59 years"	"55-59"	19	137328	13.8
	"Breast"	"26000"	"New Mexico"	"35"	"2019"	"2019"	"60-64 years "	"60-64"	29	135158	21.5
	"Breast"	"26000"	"New Mexico"	"35"	"2019"	"2019"	"65-69 years"	"65-69"	37	123206	30.0
	"Breast"	"26000"	"New Mexico"	"35"	"2019"	"2019"	"70-74 years"	"70-74"	46	101432	45.4
	"Breast"	"26000"	"New Mexico"	"35"	"2019"	"2019"	"75-79 years"	"75-79"	37	67633	54.7
	"Breast"	"26000"	"New Mexico"	"35"	"2019"	"2019"	"80-84 years"	"80-84"	19	44128	43.1
	"Breast"	"26000"	"New Mexico"	"35"	"2019"	"2019"	"85+ years"	"85+"	47	41392	113.5
	"Breast"	"26000"	"New York"	"36"	"2017"	"2017"	"30-34 years"	"30-34"	17	1383842	1.2
	"Breast"	"26000"	"New York"	"36"	"2017"	"2017"	"35-39 years"	"35-39"	35	1263543	2.8
	"Breast"	"26000"	"New York"	"36"	"2017"	"2017"	"40-44 years"	"40-44"	62	1160115	5.3
	"Breast"	"26000"	"New York"	"36"	"2017"	"2017"	"45-49 years"	"45-49"	110	1274108	8.6
	"Breast"	"26000"	"New York"	"36"	"2017"	"2017"	"50-54 years"	"50-54"	171	1351357	12.7
	"Breast"	"26000"	"New York"	"36"	"2017"	"2017"	"55-59 years"	"55-59"	257	1364642	18.8
	"Breast"	"26000"	"New York"	"36"	"2017"	"2017"	"60-64 years "	"60-64"	253	1213959	20.8
	"Breast"	"26000"	"New York"	"36"	"2017"	"2017"	"65-69 years"	"65-69"	274	1010757	27.1
	"Breast"	"26000"	"New York"	"36"	"2017"	"2017"	"70-74 years"	"70-74"	291	764860	38.0
	"Breast"	"26000"	"New York"	"36"	"2017"	"2017"	"75-79 years"	"75-79"	264	535142	49.3
	"Breast"	"26000"	"New York"	"36"	"2017"	"2017"	"80-84 years"	"80-84"	232	382436	60.7
	"Breast"	"26000"	"New York"	"36"	"2017"	"2017"	"85+ years"	"85+"	512	454986	112.5
	"Breast"	"26000"	"New York"	"36"	"2019"	"2019"	"30-34 years"	"30-34"	21	1403212	1.5
	"Breast"	"26000"	"New York"	"36"	"2019"	"2019"	"35-39 years"	"35-39"	41	1272689	3.2
	"Breast"	"26000"	"New York"	"36"	"2019"	"2019"	"40-44 years"	"40-44"	73	1158240	6.3
	"Breast"	"26000"	"New York"	"36"	"2019"	"2019"	"45-49 years"	"45-49"	103	1196859	8.6
	"Breast"	"26000"	"New York"	"36"	"2019"	"2019"	"50-54 years"	"50-54"	165	1275165	12.9
	"Breast"	"26000"	"New York"	"36"	"2019"	"2019"	"55-59 years"	"55-59"	224	1349292	16.6
	"Breast"	"26000"	"New York"	"36"	"2019"	"2019"	"60-64 years "	"60-64"	245	1248924	19.6
	"Breast"	"26000"	"New York"	"36"	"2019"	"2019"	"65-69 years"	"65-69"	292	1034161	28.2
	"Breast"	"26000"	"New York"	"36"	"2019"	"2019"	"70-74 years"	"70-74"	316	829489	38.1
	"Breast"	"26000"	"New York"	"36"	"2019"	"2019"	"75-79 years"	"75-79"	269	578496	46.5
	"Breast"	"26000"	"New York"	"36"	"2019"	"2019"	"80-84 years"	"80-84"	257	398643	64.5
	"Breast"	"26000"	"New York"	"36"	"2019"	"2019"	"85+ years"	"85+"	502	460326	109.1
	"Breast"	"26000"	"North Carolina"	"37"	"2017"	"2017"	"35-39 years"	"35-39"	23	651603	3.5
	"Breast"	"26000"	"North Carolina"	"37"	"2017"	"2017"	"40-44 years"	"40-44"	37	637305	5.8
	"Breast"	"26000"	"North Carolina"	"37"	"2017"	"2017"	"45-49 years"	"45-49"	80	696982	11.5
	"Breast"	"26000"	"North Carolina"	"37"	"2017"	"2017"	"50-54 years"	"50-54"	110	687085	16.0
	"Breast"	"26000"	"North Carolina"	"37"	"2017"	"2017"	"55-59 years"	"55-59"	149	689093	21.6
	"Breast"	"26000"	"North Carolina"	"37"	"2017"	"2017"	"60-64 years "	"60-64"	160	632049	25.3
	"Breast"	"26000"	"North Carolina"	"37"	"2017"	"2017"	"65-69 years"	"65-69"	207	551754	37.5
	"Breast"	"26000"	"North Carolina"	"37"	"2017"	"2017"	"70-74 years"	"70-74"	181	428246	42.3
	"Breast"	"26000"	"North Carolina"	"37"	"2017"	"2017"	"75-79 years"	"75-79"	159	280125	56.8
	"Breast"	"26000"	"North Carolina"	"37"	"2017"	"2017"	"80-84 years"	"80-84"	131	186376	70.3
	"Breast"	"26000"	"North Carolina"	"37"	"2017"	"2017"	"85+ years"	"85+"	211	181762	116.1
	"Breast"	"26000"	"North Carolina"	"37"	"2019"	"2019"	"35-39 years"	"35-39"	22	662966	3.3
	"Breast"	"26000"	"North Carolina"	"37"	"2019"	"2019"	"40-44 years"	"40-44"	44	641661	6.9
	"Breast"	"26000"	"North Carolina"	"37"	"2019"	"2019"	"45-49 years"	"45-49"	62	688579	9.0
	"Breast"	"26000"	"North Carolina"	"37"	"2019"	"2019"	"50-54 years"	"50-54"	100	675532	14.8
	"Breast"	"26000"	"North Carolina"	"37"	"2019"	"2019"	"55-59 years"	"55-59"	131	703387	18.6
	"Breast"	"26000"	"North Carolina"	"37"	"2019"	"2019"	"60-64 years "	"60-64"	163	658514	24.8
	"Breast"	"26000"	"North Carolina"	"37"	"2019"	"2019"	"65-69 years"	"65-69"	175	573824	30.5
	"Breast"	"26000"	"North Carolina"	"37"	"2019"	"2019"	"70-74 years"	"70-74"	178	473144	37.6
	"Breast"	"26000"	"North Carolina"	"37"	"2019"	"2019"	"75-79 years"	"75-79"	162	316704	51.2
	"Breast"	"26000"	"North Carolina"	"37"	"2019"	"2019"	"80-84 years"	"80-84"	121	199018	60.8
	"Breast"	"26000"	"North Carolina"	"37"	"2019"	"2019"	"85+ years"	"85+"	210	189574	110.8
	"Breast"	"26000"	"North Dakota"	"38"	"2017"	"2017"	"60-64 years "	"60-64"	19	45713	41.6
	"Breast"	"26000"	"North Dakota"	"38"	"2017"	"2017"	"85+ years"	"85+"	22	18848	116.7
	"Breast"	"26000"	"Ohio"	"39"	"2017"	"2017"	"35-39 years"	"35-39"	19	716157	2.7
	"Breast"	"26000"	"Ohio"	"39"	"2017"	"2017"	"40-44 years"	"40-44"	54	665711	8.1
	"Breast"	"26000"	"Ohio"	"39"	"2017"	"2017"	"45-49 years"	"45-49"	84	744748	11.3
	"Breast"	"26000"	"Ohio"	"39"	"2017"	"2017"	"50-54 years"	"50-54"	124	775561	16.0
	"Breast"	"26000"	"Ohio"	"39"	"2017"	"2017"	"55-59 years"	"55-59"	146	836054	17.5
	"Breast"	"26000"	"Ohio"	"39"	"2017"	"2017"	"60-64 years "	"60-64"	200	775066	25.8
	"Breast"	"26000"	"Ohio"	"39"	"2017"	"2017"	"65-69 years"	"65-69"	240	646225	37.1
	"Breast"	"26000"	"Ohio"	"39"	"2017"	"2017"	"70-74 years"	"70-74"	218	472953	46.1
	"Breast"	"26000"	"Ohio"	"39"	"2017"	"2017"	"75-79 years"	"75-79"	185	333009	55.6
	"Breast"	"26000"	"Ohio"	"39"	"2017"	"2017"	"80-84 years"	"80-84"	186	231924	80.2
	"Breast"	"26000"	"Ohio"	"39"	"2017"	"2017"	"85+ years"	"85+"	312	256244	121.8
	"Breast"	"26000"	"Ohio"	"39"	"2019"	"2019"	"35-39 years"	"35-39"	29	725422	4.0
	"Breast"	"26000"	"Ohio"	"39"	"2019"	"2019"	"40-44 years"	"40-44"	34	673884	5.0
	"Breast"	"26000"	"Ohio"	"39"	"2019"	"2019"	"45-49 years"	"45-49"	71	714285	9.9
	"Breast"	"26000"	"Ohio"	"39"	"2019"	"2019"	"50-54 years"	"50-54"	103	734143	14.0
	"Breast"	"26000"	"Ohio"	"39"	"2019"	"2019"	"55-59 years"	"55-59"	150	808275	18.6
	"Breast"	"26000"	"Ohio"	"39"	"2019"	"2019"	"60-64 years "	"60-64"	201	796149	25.2
	"Breast"	"26000"	"Ohio"	"39"	"2019"	"2019"	"65-69 years"	"65-69"	203	666411	30.5
	"Breast"	"26000"	"Ohio"	"39"	"2019"	"2019"	"70-74 years"	"70-74"	215	522655	41.1
	"Breast"	"26000"	"Ohio"	"39"	"2019"	"2019"	"75-79 years"	"75-79"	192	357520	53.7
	"Breast"	"26000"	"Ohio"	"39"	"2019"	"2019"	"80-84 years"	"80-84"	213	242655	87.8
	"Breast"	"26000"	"Ohio"	"39"	"2019"	"2019"	"85+ years"	"85+"	331	254761	129.9
	"Breast"	"26000"	"Oklahoma"	"40"	"2017"	"2017"	"45-49 years"	"45-49"	20	232320	8.6
	"Breast"	"26000"	"Oklahoma"	"40"	"2017"	"2017"	"50-54 years"	"50-54"	35	236817	14.8
	"Breast"	"26000"	"Oklahoma"	"40"	"2017"	"2017"	"55-59 years"	"55-59"	54	256038	21.1
	"Breast"	"26000"	"Oklahoma"	"40"	"2017"	"2017"	"60-64 years "	"60-64"	72	235035	30.6
	"Breast"	"26000"	"Oklahoma"	"40"	"2017"	"2017"	"65-69 years"	"65-69"	62	196466	31.6
	"Breast"	"26000"	"Oklahoma"	"40"	"2017"	"2017"	"70-74 years"	"70-74"	63	154020	40.9
	"Breast"	"26000"	"Oklahoma"	"40"	"2017"	"2017"	"75-79 years"	"75-79"	67	107838	62.1
	"Breast"	"26000"	"Oklahoma"	"40"	"2017"	"2017"	"80-84 years"	"80-84"	54	73098	73.9
	"Breast"	"26000"	"Oklahoma"	"40"	"2017"	"2017"	"85+ years"	"85+"	108	72121	149.7
	"Breast"	"26000"	"Oklahoma"	"40"	"2019"	"2019"	"40-44 years"	"40-44"	19	233567	8.1
	"Breast"	"26000"	"Oklahoma"	"40"	"2019"	"2019"	"45-49 years"	"45-49"	20	230464	8.7
	"Breast"	"26000"	"Oklahoma"	"40"	"2019"	"2019"	"50-54 years"	"50-54"	38	223040	17.0
	"Breast"	"26000"	"Oklahoma"	"40"	"2019"	"2019"	"55-59 years"	"55-59"	54	252834	21.4
	"Breast"	"26000"	"Oklahoma"	"40"	"2019"	"2019"	"60-64 years "	"60-64"	71	240531	29.5
	"Breast"	"26000"	"Oklahoma"	"40"	"2019"	"2019"	"65-69 years"	"65-69"	72	204518	35.2
	"Breast"	"26000"	"Oklahoma"	"40"	"2019"	"2019"	"70-74 years"	"70-74"	76	164336	46.2
	"Breast"	"26000"	"Oklahoma"	"40"	"2019"	"2019"	"75-79 years"	"75-79"	57	116752	48.8
	"Breast"	"26000"	"Oklahoma"	"40"	"2019"	"2019"	"80-84 years"	"80-84"	54	76370	70.7
	"Breast"	"26000"	"Oklahoma"	"40"	"2019"	"2019"	"85+ years"	"85+"	77	74223	103.7
	"Breast"	"26000"	"Oregon"	"41"	"2017"	"2017"	"45-49 years"	"45-49"	23	262788	8.8
	"Breast"	"26000"	"Oregon"	"41"	"2017"	"2017"	"50-54 years"	"50-54"	34	251805	13.5
	"Breast"	"26000"	"Oregon"	"41"	"2017"	"2017"	"55-59 years"	"55-59"	46	272399	16.9
	"Breast"	"26000"	"Oregon"	"41"	"2017"	"2017"	"60-64 years "	"60-64"	64	275547	23.2
	"Breast"	"26000"	"Oregon"	"41"	"2017"	"2017"	"65-69 years"	"65-69"	76	247490	30.7
	"Breast"	"26000"	"Oregon"	"41"	"2017"	"2017"	"70-74 years"	"70-74"	56	184320	30.4
	"Breast"	"26000"	"Oregon"	"41"	"2017"	"2017"	"75-79 years"	"75-79"	50	117936	42.4
	"Breast"	"26000"	"Oregon"	"41"	"2017"	"2017"	"80-84 years"	"80-84"	53	75347	70.3
	"Breast"	"26000"	"Oregon"	"41"	"2017"	"2017"	"85+ years"	"85+"	88	83799	105.0
	"Breast"	"26000"	"Oregon"	"41"	"2019"	"2019"	"40-44 years"	"40-44"	18	271047	6.6
	"Breast"	"26000"	"Oregon"	"41"	"2019"	"2019"	"45-49 years"	"45-49"	16	261861	6.1
	"Breast"	"26000"	"Oregon"	"41"	"2019"	"2019"	"50-54 years"	"50-54"	33	248361	13.3
	"Breast"	"26000"	"Oregon"	"41"	"2019"	"2019"	"55-59 years"	"55-59"	46	266650	17.3
	"Breast"	"26000"	"Oregon"	"41"	"2019"	"2019"	"60-64 years "	"60-64"	65	272434	23.9
	"Breast"	"26000"	"Oregon"	"41"	"2019"	"2019"	"65-69 years"	"65-69"	84	257876	32.6
	"Breast"	"26000"	"Oregon"	"41"	"2019"	"2019"	"70-74 years"	"70-74"	72	205485	35.0
	"Breast"	"26000"	"Oregon"	"41"	"2019"	"2019"	"75-79 years"	"75-79"	66	134926	48.9
	"Breast"	"26000"	"Oregon"	"41"	"2019"	"2019"	"80-84 years"	"80-84"	51	81616	62.5
	"Breast"	"26000"	"Oregon"	"41"	"2019"	"2019"	"85+ years"	"85+"	117	84491	138.5
	"Breast"	"26000"	"Pennsylvania"	"42"	"2017"	"2017"	"35-39 years"	"35-39"	26	769446	3.4
	"Breast"	"26000"	"Pennsylvania"	"42"	"2017"	"2017"	"40-44 years"	"40-44"	44	714243	6.2
	"Breast"	"26000"	"Pennsylvania"	"42"	"2017"	"2017"	"45-49 years"	"45-49"	67	817559	8.2
	"Breast"	"26000"	"Pennsylvania"	"42"	"2017"	"2017"	"50-54 years"	"50-54"	136	879182	15.5
	"Breast"	"26000"	"Pennsylvania"	"42"	"2017"	"2017"	"55-59 years"	"55-59"	172	937082	18.4
	"Breast"	"26000"	"Pennsylvania"	"42"	"2017"	"2017"	"60-64 years "	"60-64"	215	873871	24.6
	"Breast"	"26000"	"Pennsylvania"	"42"	"2017"	"2017"	"65-69 years"	"65-69"	224	726979	30.8
	"Breast"	"26000"	"Pennsylvania"	"42"	"2017"	"2017"	"70-74 years"	"70-74"	232	551549	42.1
	"Breast"	"26000"	"Pennsylvania"	"42"	"2017"	"2017"	"75-79 years"	"75-79"	215	385496	55.8
	"Breast"	"26000"	"Pennsylvania"	"42"	"2017"	"2017"	"80-84 years"	"80-84"	217	279091	77.8
	"Breast"	"26000"	"Pennsylvania"	"42"	"2017"	"2017"	"85+ years"	"85+"	454	335843	135.2
	"Breast"	"26000"	"Pennsylvania"	"42"	"2019"	"2019"	"35-39 years"	"35-39"	28	791738	3.5
	"Breast"	"26000"	"Pennsylvania"	"42"	"2019"	"2019"	"40-44 years"	"40-44"	50	722055	6.9
	"Breast"	"26000"	"Pennsylvania"	"42"	"2019"	"2019"	"45-49 years"	"45-49"	75	773522	9.7
	"Breast"	"26000"	"Pennsylvania"	"42"	"2019"	"2019"	"50-54 years"	"50-54"	107	830078	12.9
	"Breast"	"26000"	"Pennsylvania"	"42"	"2019"	"2019"	"55-59 years"	"55-59"	167	909729	18.4
	"Breast"	"26000"	"Pennsylvania"	"42"	"2019"	"2019"	"60-64 years "	"60-64"	202	895409	22.6
	"Breast"	"26000"	"Pennsylvania"	"42"	"2019"	"2019"	"65-69 years"	"65-69"	210	756122	27.8
	"Breast"	"26000"	"Pennsylvania"	"42"	"2019"	"2019"	"70-74 years"	"70-74"	219	598719	36.6
	"Breast"	"26000"	"Pennsylvania"	"42"	"2019"	"2019"	"75-79 years"	"75-79"	204	419977	48.6
	"Breast"	"26000"	"Pennsylvania"	"42"	"2019"	"2019"	"80-84 years"	"80-84"	183	288025	63.5
	"Breast"	"26000"	"Pennsylvania"	"42"	"2019"	"2019"	"85+ years"	"85+"	444	331328	134.0
	"Breast"	"26000"	"Rhode Island"	"44"	"2017"	"2017"	"60-64 years "	"60-64"	17	70661	24.1
	"Breast"	"26000"	"Rhode Island"	"44"	"2017"	"2017"	"75-79 years"	"75-79"	17	28678	59.3
	"Breast"	"26000"	"Rhode Island"	"44"	"2017"	"2017"	"80-84 years"	"80-84"	19	20839	91.2
	"Breast"	"26000"	"Rhode Island"	"44"	"2017"	"2017"	"85+ years"	"85+"	21	27946	75.1
	"Breast"	"26000"	"Rhode Island"	"44"	"2019"	"2019"	"60-64 years "	"60-64"	17	73050	23.3
	"Breast"	"26000"	"Rhode Island"	"44"	"2019"	"2019"	"65-69 years"	"65-69"	18	59301	30.4
	"Breast"	"26000"	"Rhode Island"	"44"	"2019"	"2019"	"85+ years"	"85+"	35	27307	128.2
	"Breast"	"26000"	"South Carolina"	"45"	"2017"	"2017"	"40-44 years"	"40-44"	24	293574	8.2
	"Breast"	"26000"	"South Carolina"	"45"	"2017"	"2017"	"45-49 years"	"45-49"	33	319853	10.3
	"Breast"	"26000"	"South Carolina"	"45"	"2017"	"2017"	"50-54 years"	"50-54"	58	330937	17.5
	"Breast"	"26000"	"South Carolina"	"45"	"2017"	"2017"	"55-59 years"	"55-59"	69	340983	20.2
	"Breast"	"26000"	"South Carolina"	"45"	"2017"	"2017"	"60-64 years "	"60-64"	98	326564	30.0
	"Breast"	"26000"	"South Carolina"	"45"	"2017"	"2017"	"65-69 years"	"65-69"	90	298581	30.1
	"Breast"	"26000"	"South Carolina"	"45"	"2017"	"2017"	"70-74 years"	"70-74"	85	235033	36.2
	"Breast"	"26000"	"South Carolina"	"45"	"2017"	"2017"	"75-79 years"	"75-79"	81	150781	53.7
	"Breast"	"26000"	"South Carolina"	"45"	"2017"	"2017"	"80-84 years"	"80-84"	55	94116	58.4
	"Breast"	"26000"	"South Carolina"	"45"	"2017"	"2017"	"85+ years"	"85+"	95	86602	109.7
	"Breast"	"26000"	"South Carolina"	"45"	"2019"	"2019"	"35-39 years"	"35-39"	16	321320	5.0
	"Breast"	"26000"	"South Carolina"	"45"	"2019"	"2019"	"45-49 years"	"45-49"	30	318697	9.4
	"Breast"	"26000"	"South Carolina"	"45"	"2019"	"2019"	"50-54 years"	"50-54"	44	322770	13.6
	"Breast"	"26000"	"South Carolina"	"45"	"2019"	"2019"	"55-59 years"	"55-59"	85	350252	24.3
	"Breast"	"26000"	"South Carolina"	"45"	"2019"	"2019"	"60-64 years "	"60-64"	92	339368	27.1
	"Breast"	"26000"	"South Carolina"	"45"	"2019"	"2019"	"65-69 years"	"65-69"	111	309333	35.9
	"Breast"	"26000"	"South Carolina"	"45"	"2019"	"2019"	"70-74 years"	"70-74"	101	261781	38.6
	"Breast"	"26000"	"South Carolina"	"45"	"2019"	"2019"	"75-79 years"	"75-79"	94	173377	54.2
	"Breast"	"26000"	"South Carolina"	"45"	"2019"	"2019"	"80-84 years"	"80-84"	69	102344	67.4
	"Breast"	"26000"	"South Carolina"	"45"	"2019"	"2019"	"85+ years"	"85+"	95	91539	103.8
	"Breast"	"26000"	"South Dakota"	"46"	"2017"	"2017"	"60-64 years "	"60-64"	17	56800	29.9
	"Breast"	"26000"	"South Dakota"	"46"	"2017"	"2017"	"85+ years"	"85+"	26	20922	124.3
	"Breast"	"26000"	"South Dakota"	"46"	"2019"	"2019"	"75-79 years"	"75-79"	18	24399	73.8
	"Breast"	"26000"	"South Dakota"	"46"	"2019"	"2019"	"85+ years"	"85+"	26	20902	124.4
	"Breast"	"26000"	"Tennessee"	"47"	"2017"	"2017"	"40-44 years"	"40-44"	18	406966	4.4
	"Breast"	"26000"	"Tennessee"	"47"	"2017"	"2017"	"45-49 years"	"45-49"	43	442621	9.7
	"Breast"	"26000"	"Tennessee"	"47"	"2017"	"2017"	"50-54 years"	"50-54"	57	448444	12.7
	"Breast"	"26000"	"Tennessee"	"47"	"2017"	"2017"	"55-59 years"	"55-59"	114	454035	25.1
	"Breast"	"26000"	"Tennessee"	"47"	"2017"	"2017"	"60-64 years "	"60-64"	106	421578	25.1
	"Breast"	"26000"	"Tennessee"	"47"	"2017"	"2017"	"65-69 years"	"65-69"	119	363387	32.7
	"Breast"	"26000"	"Tennessee"	"47"	"2017"	"2017"	"70-74 years"	"70-74"	124	281489	44.1
	"Breast"	"26000"	"Tennessee"	"47"	"2017"	"2017"	"75-79 years"	"75-79"	102	189168	53.9
	"Breast"	"26000"	"Tennessee"	"47"	"2017"	"2017"	"80-84 years"	"80-84"	94	122482	76.7
	"Breast"	"26000"	"Tennessee"	"47"	"2017"	"2017"	"85+ years"	"85+"	142	118615	119.7
	"Breast"	"26000"	"Tennessee"	"47"	"2019"	"2019"	"40-44 years"	"40-44"	20	412383	4.8
	"Breast"	"26000"	"Tennessee"	"47"	"2019"	"2019"	"45-49 years"	"45-49"	36	437949	8.2
	"Breast"	"26000"	"Tennessee"	"47"	"2019"	"2019"	"50-54 years"	"50-54"	64	433176	14.8
	"Breast"	"26000"	"Tennessee"	"47"	"2019"	"2019"	"55-59 years"	"55-59"	98	459940	21.3
	"Breast"	"26000"	"Tennessee"	"47"	"2019"	"2019"	"60-64 years "	"60-64"	138	434110	31.8
	"Breast"	"26000"	"Tennessee"	"47"	"2019"	"2019"	"65-69 years"	"65-69"	133	373554	35.6
	"Breast"	"26000"	"Tennessee"	"47"	"2019"	"2019"	"70-74 years"	"70-74"	141	308071	45.8
	"Breast"	"26000"	"Tennessee"	"47"	"2019"	"2019"	"75-79 years"	"75-79"	100	209305	47.8
	"Breast"	"26000"	"Tennessee"	"47"	"2019"	"2019"	"80-84 years"	"80-84"	76	130964	58.0
	"Breast"	"26000"	"Tennessee"	"47"	"2019"	"2019"	"85+ years"	"85+"	155	121987	127.1
	"Breast"	"26000"	"Texas"	"48"	"2017"	"2017"	"30-34 years"	"30-34"	33	2055279	1.6
	"Breast"	"26000"	"Texas"	"48"	"2017"	"2017"	"35-39 years"	"35-39"	66	1978828	3.3
	"Breast"	"26000"	"Texas"	"48"	"2017"	"2017"	"40-44 years"	"40-44"	128	1826022	7.0
	"Breast"	"26000"	"Texas"	"48"	"2017"	"2017"	"45-49 years"	"45-49"	168	1819660	9.2
	"Breast"	"26000"	"Texas"	"48"	"2017"	"2017"	"50-54 years"	"50-54"	251	1715045	14.6
	"Breast"	"26000"	"Texas"	"48"	"2017"	"2017"	"55-59 years"	"55-59"	306	1694487	18.1
	"Breast"	"26000"	"Texas"	"48"	"2017"	"2017"	"60-64 years "	"60-64"	357	1477997	24.2
	"Breast"	"26000"	"Texas"	"48"	"2017"	"2017"	"65-69 years"	"65-69"	385	1191787	32.3
	"Breast"	"26000"	"Texas"	"48"	"2017"	"2017"	"70-74 years"	"70-74"	318	889228	35.8
	"Breast"	"26000"	"Texas"	"48"	"2017"	"2017"	"75-79 years"	"75-79"	298	588993	50.6
	"Breast"	"26000"	"Texas"	"48"	"2017"	"2017"	"80-84 years"	"80-84"	267	395891	67.4
