"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	Deaths	Population	Age-Adjusted Rate	Crude Rate
	"Esophagus"	"21010"	"New Mexico"	"35"	"2017"	"2017"	"Male"	"M"	87	1036090	6.8	8.4
	"Esophagus"	"21010"	"New Mexico"	"35"	"2019"	"2019"	"Female"	"F"	20	1060654	1.3	1.9
	"Esophagus"	"21010"	"New Mexico"	"35"	"2019"	"2019"	"Male"	"M"	77	1038980	5.9	7.4
	"Esophagus"	"21010"	"New York"	"36"	"2017"	"2017"	"Female"	"F"	180	10080806	1.3	1.8
	"Esophagus"	"21010"	"New York"	"36"	"2017"	"2017"	"Male"	"M"	698	9513043	6.3	7.3
	"Esophagus"	"21010"	"New York"	"36"	"2019"	"2019"	"Female"	"F"	180	10012065	1.2	1.8
	"Esophagus"	"21010"	"New York"	"36"	"2019"	"2019"	"Male"	"M"	646	9451066	5.7	6.8
	"Esophagus"	"21010"	"North Carolina"	"37"	"2017"	"2017"	"Female"	"F"	88	5274812	1.3	1.7
	"Esophagus"	"21010"	"North Carolina"	"37"	"2017"	"2017"	"Male"	"M"	358	5000946	6.3	7.2
	"Esophagus"	"21010"	"North Carolina"	"37"	"2019"	"2019"	"Female"	"F"	76	5393755	1.1	1.4
	"Esophagus"	"21010"	"North Carolina"	"37"	"2019"	"2019"	"Male"	"M"	391	5107629	6.4	7.7
	"Esophagus"	"21010"	"North Dakota"	"38"	"2017"	"2017"	"Male"	"M"	21	387723	5.0	5.4
	"Esophagus"	"21010"	"North Dakota"	"38"	"2019"	"2019"	"Male"	"M"	35	391046	7.8	9.0
	"Esophagus"	"21010"	"Ohio"	"39"	"2017"	"2017"	"Female"	"F"	141	5949075	1.7	2.4
	"Esophagus"	"21010"	"Ohio"	"39"	"2017"	"2017"	"Male"	"M"	582	5716631	8.4	10.2
	"Esophagus"	"21010"	"Ohio"	"39"	"2019"	"2019"	"Female"	"F"	155	5962634	1.8	2.6
	"Esophagus"	"21010"	"Ohio"	"39"	"2019"	"2019"	"Male"	"M"	675	5733873	9.8	11.8
	"Esophagus"	"21010"	"Oklahoma"	"40"	"2017"	"2017"	"Female"	"F"	36	1984912	1.4	1.8
	"Esophagus"	"21010"	"Oklahoma"	"40"	"2017"	"2017"	"Male"	"M"	150	1948690	6.9	7.7
	"Esophagus"	"21010"	"Oklahoma"	"40"	"2019"	"2019"	"Female"	"F"	38	1999160	1.5	1.9
	"Esophagus"	"21010"	"Oklahoma"	"40"	"2019"	"2019"	"Male"	"M"	167	1961516	7.3	8.5
	"Esophagus"	"21010"	"Oregon"	"41"	"2017"	"2017"	"Female"	"F"	40	2091485	1.4	1.9
	"Esophagus"	"21010"	"Oregon"	"41"	"2017"	"2017"	"Male"	"M"	208	2055809	8.4	10.1
	"Esophagus"	"21010"	"Oregon"	"41"	"2019"	"2019"	"Female"	"F"	39	2126006	1.3	1.8
	"Esophagus"	"21010"	"Oregon"	"41"	"2019"	"2019"	"Male"	"M"	198	2090110	7.5	9.5
	"Esophagus"	"21010"	"Pennsylvania"	"42"	"2017"	"2017"	"Female"	"F"	164	6528507	1.6	2.5
	"Esophagus"	"21010"	"Pennsylvania"	"42"	"2017"	"2017"	"Male"	"M"	607	6266172	7.8	9.7
	"Esophagus"	"21010"	"Pennsylvania"	"42"	"2019"	"2019"	"Female"	"F"	158	6526489	1.6	2.4
	"Esophagus"	"21010"	"Pennsylvania"	"42"	"2019"	"2019"	"Male"	"M"	654	6272394	8.0	10.4
	"Esophagus"	"21010"	"Rhode Island"	"44"	"2017"	"2017"	"Male"	"M"	41	513670	6.4	8.0
	"Esophagus"	"21010"	"Rhode Island"	"44"	"2019"	"2019"	"Male"	"M"	39	514961	6.3	7.6
	"Esophagus"	"21010"	"South Carolina"	"45"	"2017"	"2017"	"Female"	"F"	50	2588374	1.5	1.9
	"Esophagus"	"21010"	"South Carolina"	"45"	"2017"	"2017"	"Male"	"M"	199	2438728	6.5	8.2
	"Esophagus"	"21010"	"South Carolina"	"45"	"2019"	"2019"	"Female"	"F"	58	2659704	1.4	2.2
	"Esophagus"	"21010"	"South Carolina"	"45"	"2019"	"2019"	"Male"	"M"	206	2497998	6.3	8.2
	"Esophagus"	"21010"	"South Dakota"	"46"	"2017"	"2017"	"Male"	"M"	49	440841	10.2	11.1
	"Esophagus"	"21010"	"South Dakota"	"46"	"2019"	"2019"	"Female"	"F"	16	439553	2.7	3.6
	"Esophagus"	"21010"	"South Dakota"	"46"	"2019"	"2019"	"Male"	"M"	39	447574	7.1	8.7
	"Esophagus"	"21010"	"Tennessee"	"47"	"2017"	"2017"	"Female"	"F"	68	3438006	1.5	2.0
	"Esophagus"	"21010"	"Tennessee"	"47"	"2017"	"2017"	"Male"	"M"	292	3276742	7.5	8.9
	"Esophagus"	"21010"	"Tennessee"	"47"	"2019"	"2019"	"Female"	"F"	71	3498429	1.5	2.0
	"Esophagus"	"21010"	"Tennessee"	"47"	"2019"	"2019"	"Male"	"M"	329	3331896	8.2	9.9
	"Esophagus"	"21010"	"Texas"	"48"	"2017"	"2017"	"Female"	"F"	166	14238026	1.1	1.2
	"Esophagus"	"21010"	"Texas"	"48"	"2017"	"2017"	"Male"	"M"	679	14052998	5.3	4.8
	"Esophagus"	"21010"	"Texas"	"48"	"2019"	"2019"	"Female"	"F"	191	14591903	1.2	1.3
	"Esophagus"	"21010"	"Texas"	"48"	"2019"	"2019"	"Male"	"M"	797	14394891	5.9	5.5
	"Esophagus"	"21010"	"Utah"	"49"	"2017"	"2017"	"Male"	"M"	67	1562978	5.2	4.3
	"Esophagus"	"21010"	"Utah"	"49"	"2019"	"2019"	"Male"	"M"	71	1613538	5.2	4.4
	"Esophagus"	"21010"	"Vermont"	"50"	"2017"	"2017"	"Male"	"M"	39	308694	9.9	12.6
	"Esophagus"	"21010"	"Vermont"	"50"	"2019"	"2019"	"Male"	"M"	45	308308	9.9	14.6
	"Esophagus"	"21010"	"Virginia"	"51"	"2017"	"2017"	"Female"	"F"	87	4302531	1.6	2.0
	"Esophagus"	"21010"	"Virginia"	"51"	"2017"	"2017"	"Male"	"M"	306	4168480	6.6	7.3
	"Esophagus"	"21010"	"Virginia"	"51"	"2019"	"2019"	"Female"	"F"	82	4345858	1.4	1.9
	"Esophagus"	"21010"	"Virginia"	"51"	"2019"	"2019"	"Male"	"M"	340	4210784	7.1	8.1
	"Esophagus"	"21010"	"Washington"	"53"	"2017"	"2017"	"Female"	"F"	66	3712553	1.4	1.8
	"Esophagus"	"21010"	"Washington"	"53"	"2017"	"2017"	"Male"	"M"	295	3715398	7.4	7.9
	"Esophagus"	"21010"	"Washington"	"53"	"2019"	"2019"	"Female"	"F"	74	3802546	1.5	1.9
	"Esophagus"	"21010"	"Washington"	"53"	"2019"	"2019"	"Male"	"M"	297	3811478	7.0	7.8
	"Esophagus"	"21010"	"West Virginia"	"54"	"2017"	"2017"	"Female"	"F"	20	918498	1.4	2.2
	"Esophagus"	"21010"	"West Virginia"	"54"	"2017"	"2017"	"Male"	"M"	116	900185	9.3	12.9
	"Esophagus"	"21010"	"West Virginia"	"54"	"2019"	"2019"	"Female"	"F"	24	906103	1.6	2.6
	"Esophagus"	"21010"	"West Virginia"	"54"	"2019"	"2019"	"Male"	"M"	120	889160	9.5	13.5
	"Esophagus"	"21010"	"Wisconsin"	"55"	"2017"	"2017"	"Female"	"F"	64	2911984	1.6	2.2
	"Esophagus"	"21010"	"Wisconsin"	"55"	"2017"	"2017"	"Male"	"M"	266	2881163	7.7	9.2
	"Esophagus"	"21010"	"Wisconsin"	"55"	"2019"	"2019"	"Female"	"F"	83	2925732	1.9	2.8
	"Esophagus"	"21010"	"Wisconsin"	"55"	"2019"	"2019"	"Male"	"M"	276	2898849	7.7	9.5
	"Esophagus"	"21010"	"Wyoming"	"56"	"2017"	"2017"	"Male"	"M"	20	295879	5.6	6.8
	"Esophagus"	"21010"	"Wyoming"	"56"	"2019"	"2019"	"Male"	"M"	29	295710	8.1	9.8
	"Gallbladder"	"21080"	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	28	2517486	0.8	1.1
	"Gallbladder"	"21080"	"Arizona"	"04"	"2017"	"2017"	"Female"	"F"	26	3545316	0.5	0.7
	"Gallbladder"	"21080"	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	34	3669041	0.7	0.9
	"Gallbladder"	"21080"	"California"	"06"	"2017"	"2017"	"Female"	"F"	198	19783962	0.8	1.0
	"Gallbladder"	"21080"	"California"	"06"	"2017"	"2017"	"Male"	"M"	98	19553823	0.5	0.5
	"Gallbladder"	"21080"	"California"	"06"	"2019"	"2019"	"Female"	"F"	188	19829085	0.7	0.9
	"Gallbladder"	"21080"	"California"	"06"	"2019"	"2019"	"Male"	"M"	86	19608525	0.4	0.4
	"Gallbladder"	"21080"	"Colorado"	"08"	"2017"	"2017"	"Female"	"F"	25	2789649	0.7	0.9
	"Gallbladder"	"21080"	"Colorado"	"08"	"2019"	"2019"	"Female"	"F"	17	2857610	0.5	0.6
	"Gallbladder"	"21080"	"Florida"	"12"	"2017"	"2017"	"Female"	"F"	89	10720663	0.5	0.8
	"Gallbladder"	"21080"	"Florida"	"12"	"2017"	"2017"	"Male"	"M"	61	10256426	0.4	0.6
	"Gallbladder"	"21080"	"Florida"	"12"	"2019"	"2019"	"Female"	"F"	81	10987074	0.4	0.7
	"Gallbladder"	"21080"	"Florida"	"12"	"2019"	"2019"	"Male"	"M"	47	10504982	0.3	0.4
	"Gallbladder"	"21080"	"Georgia"	"13"	"2017"	"2017"	"Female"	"F"	38	5349075	0.6	0.7
	"Gallbladder"	"21080"	"Georgia"	"13"	"2017"	"2017"	"Male"	"M"	22	5067956	0.5	0.4
	"Gallbladder"	"21080"	"Georgia"	"13"	"2019"	"2019"	"Female"	"F"	41	5462335	0.6	0.8
	"Gallbladder"	"21080"	"Georgia"	"13"	"2019"	"2019"	"Male"	"M"	25	5165685	0.5	0.5
	"Gallbladder"	"21080"	"Illinois"	"17"	"2017"	"2017"	"Female"	"F"	71	6501339	0.8	1.1
	"Gallbladder"	"21080"	"Illinois"	"17"	"2017"	"2017"	"Male"	"M"	37	6278554	0.6	0.6
	"Gallbladder"	"21080"	"Illinois"	"17"	"2019"	"2019"	"Female"	"F"	63	6443120	0.7	1.0
	"Gallbladder"	"21080"	"Illinois"	"17"	"2019"	"2019"	"Male"	"M"	33	6223897	0.5	0.5
	"Gallbladder"	"21080"	"Indiana"	"18"	"2017"	"2017"	"Female"	"F"	40	3378096	0.9	1.2
	"Gallbladder"	"21080"	"Indiana"	"18"	"2019"	"2019"	"Female"	"F"	22	3411571	0.5	0.6
	"Gallbladder"	"21080"	"Indiana"	"18"	"2019"	"2019"	"Male"	"M"	23	3319439	0.6	0.7
	"Gallbladder"	"21080"	"Iowa"	"19"	"2017"	"2017"	"Female"	"F"	21	1579862	0.9	1.3
	"Gallbladder"	"21080"	"Kentucky"	"21"	"2017"	"2017"	"Female"	"F"	18	2260311	0.6	0.8
	"Gallbladder"	"21080"	"Louisiana"	"22"	"2017"	"2017"	"Female"	"F"	19	2390634	0.6	0.8
	"Gallbladder"	"21080"	"Louisiana"	"22"	"2019"	"2019"	"Female"	"F"	29	2385969	0.9	1.2
	"Gallbladder"	"21080"	"Maryland"	"24"	"2017"	"2017"	"Female"	"F"	20	3106751	0.5	0.6
	"Gallbladder"	"21080"	"Maryland"	"24"	"2019"	"2019"	"Female"	"F"	17	3122480	0.4	0.5
	"Gallbladder"	"21080"	"Massachusetts"	"25"	"2017"	"2017"	"Female"	"F"	45	3532606	1.0	1.3
	"Gallbladder"	"21080"	"Massachusetts"	"25"	"2017"	"2017"	"Male"	"M"	19	3330954	0.5	0.6
	"Gallbladder"	"21080"	"Massachusetts"	"25"	"2019"	"2019"	"Female"	"F"	39	3548380	0.7	1.1
	"Gallbladder"	"21080"	"Massachusetts"	"25"	"2019"	"2019"	"Male"	"M"	18	3346503	0.5	0.5
	"Gallbladder"	"21080"	"Michigan"	"26"	"2017"	"2017"	"Female"	"F"	28	5064544	0.4	0.6
	"Gallbladder"	"21080"	"Michigan"	"26"	"2019"	"2019"	"Female"	"F"	57	5066743	0.8	1.1
	"Gallbladder"	"21080"	"Minnesota"	"27"	"2017"	"2017"	"Female"	"F"	26	2796520	0.8	0.9
	"Gallbladder"	"21080"	"Minnesota"	"27"	"2019"	"2019"	"Female"	"F"	21	2830663	0.5	0.7
	"Gallbladder"	"21080"	"Mississippi"	"28"	"2017"	"2017"	"Female"	"F"	17	1539672	0.8	1.1
	"Gallbladder"	"21080"	"Missouri"	"29"	"2017"	"2017"	"Female"	"F"	25	3111381	0.6	0.8
	"Gallbladder"	"21080"	"Missouri"	"29"	"2017"	"2017"	"Male"	"M"	16	3000001	0.5	0.5
	"Gallbladder"	"21080"	"Missouri"	"29"	"2019"	"2019"	"Female"	"F"	27	3127846	0.6	0.9
	"Gallbladder"	"21080"	"Missouri"	"29"	"2019"	"2019"	"Male"	"M"	18	3012629	0.5	0.6
	"Gallbladder"	"21080"	"New Jersey"	"34"	"2017"	"2017"	"Female"	"F"	34	4547537	0.5	0.7
	"Gallbladder"	"21080"	"New Jersey"	"34"	"2017"	"2017"	"Male"	"M"	24	4340610	0.5	0.6
	"Gallbladder"	"21080"	"New Jersey"	"34"	"2019"	"2019"	"Female"	"F"	26	4545698	0.4	0.6
	"Gallbladder"	"21080"	"New Jersey"	"34"	"2019"	"2019"	"Male"	"M"	17	4345560	0.3	0.4
	"Gallbladder"	"21080"	"New York"	"36"	"2017"	"2017"	"Female"	"F"	110	10080806	0.8	1.1
	"Gallbladder"	"21080"	"New York"	"36"	"2017"	"2017"	"Male"	"M"	60	9513043	0.5	0.6
	"Gallbladder"	"21080"	"New York"	"36"	"2019"	"2019"	"Female"	"F"	118	10012065	0.8	1.2
	"Gallbladder"	"21080"	"New York"	"36"	"2019"	"2019"	"Male"	"M"	56	9451066	0.5	0.6
	"Gallbladder"	"21080"	"North Carolina"	"37"	"2017"	"2017"	"Female"	"F"	57	5274812	0.8	1.1
	"Gallbladder"	"21080"	"North Carolina"	"37"	"2017"	"2017"	"Male"	"M"	29	5000946	0.5	0.6
	"Gallbladder"	"21080"	"North Carolina"	"37"	"2019"	"2019"	"Female"	"F"	47	5393755	0.6	0.9
	"Gallbladder"	"21080"	"North Carolina"	"37"	"2019"	"2019"	"Male"	"M"	23	5107629	0.4	0.5
	"Gallbladder"	"21080"	"Ohio"	"39"	"2017"	"2017"	"Female"	"F"	49	5949075	0.6	0.8
	"Gallbladder"	"21080"	"Ohio"	"39"	"2017"	"2017"	"Male"	"M"	32	5716631	0.5	0.6
	"Gallbladder"	"21080"	"Ohio"	"39"	"2019"	"2019"	"Female"	"F"	61	5962634	0.7	1.0
	"Gallbladder"	"21080"	"Ohio"	"39"	"2019"	"2019"	"Male"	"M"	21	5733873	0.3	0.4
	"Gallbladder"	"21080"	"Oregon"	"41"	"2019"	"2019"	"Female"	"F"	26	2126006	0.9	1.2
	"Gallbladder"	"21080"	"Pennsylvania"	"42"	"2017"	"2017"	"Female"	"F"	68	6528507	0.7	1.0
	"Gallbladder"	"21080"	"Pennsylvania"	"42"	"2017"	"2017"	"Male"	"M"	27	6266172	0.3	0.4
	"Gallbladder"	"21080"	"Pennsylvania"	"42"	"2019"	"2019"	"Female"	"F"	67	6526489	0.7	1.0
	"Gallbladder"	"21080"	"Pennsylvania"	"42"	"2019"	"2019"	"Male"	"M"	22	6272394	0.3	0.4
	"Gallbladder"	"21080"	"South Carolina"	"45"	"2017"	"2017"	"Female"	"F"	23	2588374	0.7	0.9
	"Gallbladder"	"21080"	"Tennessee"	"47"	"2017"	"2017"	"Female"	"F"	19	3438006	0.4	0.6
	"Gallbladder"	"21080"	"Tennessee"	"47"	"2017"	"2017"	"Male"	"M"	19	3276742	0.5	0.6
	"Gallbladder"	"21080"	"Tennessee"	"47"	"2019"	"2019"	"Female"	"F"	22	3498429	0.4	0.6
	"Gallbladder"	"21080"	"Texas"	"48"	"2017"	"2017"	"Female"	"F"	105	14238026	0.7	0.7
	"Gallbladder"	"21080"	"Texas"	"48"	"2017"	"2017"	"Male"	"M"	52	14052998	0.4	0.4
	"Gallbladder"	"21080"	"Texas"	"48"	"2019"	"2019"	"Female"	"F"	134	14591903	0.8	0.9
	"Gallbladder"	"21080"	"Texas"	"48"	"2019"	"2019"	"Male"	"M"	56	14394891	0.4	0.4
	"Gallbladder"	"21080"	"Virginia"	"51"	"2017"	"2017"	"Female"	"F"	41	4302531	0.8	1.0
	"Gallbladder"	"21080"	"Virginia"	"51"	"2017"	"2017"	"Male"	"M"	21	4168480	0.5	0.5
	"Gallbladder"	"21080"	"Virginia"	"51"	"2019"	"2019"	"Female"	"F"	39	4345858	0.7	0.9
	"Gallbladder"	"21080"	"Virginia"	"51"	"2019"	"2019"	"Male"	"M"	20	4210784	0.4	0.5
	"Gallbladder"	"21080"	"Washington"	"53"	"2017"	"2017"	"Female"	"F"	33	3712553	0.7	0.9
	"Gallbladder"	"21080"	"Washington"	"53"	"2017"	"2017"	"Male"	"M"	16	3715398	0.4	0.4
	"Gallbladder"	"21080"	"Washington"	"53"	"2019"	"2019"	"Female"	"F"	36	3802546	0.7	0.9
	"Gallbladder"	"21080"	"Wisconsin"	"55"	"2017"	"2017"	"Female"	"F"	23	2911984	0.5	0.8
	"Gallbladder"	"21080"	"Wisconsin"	"55"	"2019"	"2019"	"Female"	"F"	31	2925732	0.8	1.1
	"Kidney and Renal Pelvis"	"29020"	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	91	2517486	2.5	3.6
	"Kidney and Renal Pelvis"	"29020"	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	148	2360503	5.4	6.3
	"Kidney and Renal Pelvis"	"29020"	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	70	2536133	1.9	2.8
	"Kidney and Renal Pelvis"	"29020"	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	152	2371832	5.2	6.4
	"Kidney and Renal Pelvis"	"29020"	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	17	382813	5.1	4.4
	"Kidney and Renal Pelvis"	"29020"	"Arizona"	"04"	"2017"	"2017"	"Female"	"F"	116	3545316	2.5	3.3
	"Kidney and Renal Pelvis"	"29020"	"Arizona"	"04"	"2017"	"2017"	"Male"	"M"	211	3502772	5.1	6.0
	"Kidney and Renal Pelvis"	"29020"	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	106	3669041	2.1	2.9
	"Kidney and Renal Pelvis"	"29020"	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	202	3622802	4.6	5.6
	"Kidney and Renal Pelvis"	"29020"	"Arkansas"	"05"	"2017"	"2017"	"Female"	"F"	56	1527948	2.7	3.7
	"Kidney and Renal Pelvis"	"29020"	"Arkansas"	"05"	"2017"	"2017"	"Male"	"M"	121	1475907	7.1	8.2
	"Kidney and Renal Pelvis"	"29020"	"Arkansas"	"05"	"2019"	"2019"	"Female"	"F"	63	1538076	2.9	4.1
	"Kidney and Renal Pelvis"	"29020"	"Arkansas"	"05"	"2019"	"2019"	"Male"	"M"	113	1482909	6.2	7.6
	"Kidney and Renal Pelvis"	"29020"	"California"	"06"	"2017"	"2017"	"Female"	"F"	518	19783962	2.2	2.6
	"Kidney and Renal Pelvis"	"29020"	"California"	"06"	"2017"	"2017"	"Male"	"M"	902	19553823	4.6	4.6
	"Kidney and Renal Pelvis"	"29020"	"California"	"06"	"2019"	"2019"	"Female"	"F"	472	19829085	1.9	2.4
	"Kidney and Renal Pelvis"	"29020"	"California"	"06"	"2019"	"2019"	"Male"	"M"	912	19608525	4.5	4.7
	"Kidney and Renal Pelvis"	"29020"	"Colorado"	"08"	"2017"	"2017"	"Female"	"F"	67	2789649	2.0	2.4
	"Kidney and Renal Pelvis"	"29020"	"Colorado"	"08"	"2017"	"2017"	"Male"	"M"	95	2827772	3.5	3.4
	"Kidney and Renal Pelvis"	"29020"	"Colorado"	"08"	"2019"	"2019"	"Female"	"F"	60	2857610	1.8	2.1
	"Kidney and Renal Pelvis"	"29020"	"Colorado"	"08"	"2019"	"2019"	"Male"	"M"	119	2900876	4.1	4.1
	"Kidney and Renal Pelvis"	"29020"	"Connecticut"	"09"	"2017"	"2017"	"Female"	"F"	48	1831503	1.9	2.6
	"Kidney and Renal Pelvis"	"29020"	"Connecticut"	"09"	"2017"	"2017"	"Male"	"M"	98	1743821	4.9	5.6
	"Kidney and Renal Pelvis"	"29020"	"Connecticut"	"09"	"2019"	"2019"	"Female"	"F"	39	1826990	1.4	2.1
	"Kidney and Renal Pelvis"	"29020"	"Connecticut"	"09"	"2019"	"2019"	"Male"	"M"	80	1739032	3.7	4.6
	"Kidney and Renal Pelvis"	"29020"	"Delaware"	"10"	"2017"	"2017"	"Female"	"F"	17	494606	2.4	3.4
	"Kidney and Renal Pelvis"	"29020"	"Delaware"	"10"	"2017"	"2017"	"Male"	"M"	29	463336	5.0	6.3
	"Kidney and Renal Pelvis"	"29020"	"Delaware"	"10"	"2019"	"2019"	"Male"	"M"	31	472097	5.0	6.6
	"Kidney and Renal Pelvis"	"29020"	"Florida"	"12"	"2017"	"2017"	"Female"	"F"	272	10720663	1.6	2.5
	"Kidney and Renal Pelvis"	"29020"	"Florida"	"12"	"2017"	"2017"	"Male"	"M"	694	10256426	4.9	6.8
	"Kidney and Renal Pelvis"	"29020"	"Florida"	"12"	"2019"	"2019"	"Female"	"F"	309	10987074	1.7	2.8
	"Kidney and Renal Pelvis"	"29020"	"Florida"	"12"	"2019"	"2019"	"Male"	"M"	678	10504982	4.5	6.5
	"Kidney and Renal Pelvis"	"29020"	"Georgia"	"13"	"2017"	"2017"	"Female"	"F"	154	5349075	2.5	2.9
	"Kidney and Renal Pelvis"	"29020"	"Georgia"	"13"	"2017"	"2017"	"Male"	"M"	248	5067956	5.0	4.9
	"Kidney and Renal Pelvis"	"29020"	"Georgia"	"13"	"2019"	"2019"	"Female"	"F"	129	5462335	1.9	2.4
	"Kidney and Renal Pelvis"	"29020"	"Georgia"	"13"	"2019"	"2019"	"Male"	"M"	275	5165685	5.3	5.3
	"Kidney and Renal Pelvis"	"29020"	"Hawaii"	"15"	"2017"	"2017"	"Male"	"M"	34	715536	4.1	4.8
	"Kidney and Renal Pelvis"	"29020"	"Hawaii"	"15"	"2019"	"2019"	"Female"	"F"	17	706419	1.6	2.4
	"Kidney and Renal Pelvis"	"29020"	"Hawaii"	"15"	"2019"	"2019"	"Male"	"M"	36	709196	3.9	5.1
	"Kidney and Renal Pelvis"	"29020"	"Idaho"	"16"	"2017"	"2017"	"Female"	"F"	36	858030	3.4	4.2
	"Kidney and Renal Pelvis"	"29020"	"Idaho"	"16"	"2017"	"2017"	"Male"	"M"	47	861715	5.1	5.5
	"Kidney and Renal Pelvis"	"29020"	"Idaho"	"16"	"2019"	"2019"	"Female"	"F"	30	891995	2.7	3.4
	"Kidney and Renal Pelvis"	"29020"	"Idaho"	"16"	"2019"	"2019"	"Male"	"M"	35	897065	3.3	3.9
	"Kidney and Renal Pelvis"	"29020"	"Illinois"	"17"	"2017"	"2017"	"Female"	"F"	180	6501339	2.1	2.8
	"Kidney and Renal Pelvis"	"29020"	"Illinois"	"17"	"2017"	"2017"	"Male"	"M"	368	6278554	5.5	5.9
	"Kidney and Renal Pelvis"	"29020"	"Illinois"	"17"	"2019"	"2019"	"Female"	"F"	193	6443120	2.2	3.0
	"Kidney and Renal Pelvis"	"29020"	"Illinois"	"17"	"2019"	"2019"	"Male"	"M"	354	6223897	5.1	5.7
	"Kidney and Renal Pelvis"	"29020"	"Indiana"	"18"	"2017"	"2017"	"Female"	"F"	135	3378096	3.1	4.0
	"Kidney and Renal Pelvis"	"29020"	"Indiana"	"18"	"2017"	"2017"	"Male"	"M"	201	3283972	5.9	6.1
	"Kidney and Renal Pelvis"	"29020"	"Indiana"	"18"	"2019"	"2019"	"Female"	"F"	133	3411571	2.9	3.9
	"Kidney and Renal Pelvis"	"29020"	"Indiana"	"18"	"2019"	"2019"	"Male"	"M"	161	3319439	4.6	4.9
	"Kidney and Renal Pelvis"	"29020"	"Iowa"	"19"	"2017"	"2017"	"Female"	"F"	76	1579862	3.4	4.8
	"Kidney and Renal Pelvis"	"29020"	"Iowa"	"19"	"2017"	"2017"	"Male"	"M"	105	1563872	5.8	6.7
	"Kidney and Renal Pelvis"	"29020"	"Iowa"	"19"	"2019"	"2019"	"Female"	"F"	50	1586636	2.1	3.2
	"Kidney and Renal Pelvis"	"29020"	"Iowa"	"19"	"2019"	"2019"	"Male"	"M"	113	1572960	6.0	7.2
	"Kidney and Renal Pelvis"	"29020"	"Kansas"	"20"	"2017"	"2017"	"Female"	"F"	52	1460476	2.7	3.6
	"Kidney and Renal Pelvis"	"29020"	"Kansas"	"20"	"2017"	"2017"	"Male"	"M"	104	1450416	6.8	7.2
	"Kidney and Renal Pelvis"	"29020"	"Kansas"	"20"	"2019"	"2019"	"Female"	"F"	51	1462080	2.5	3.5
	"Kidney and Renal Pelvis"	"29020"	"Kansas"	"20"	"2019"	"2019"	"Male"	"M"	83	1450555	5.0	5.7
	"Kidney and Renal Pelvis"	"29020"	"Kentucky"	"21"	"2017"	"2017"	"Female"	"F"	71	2260311	2.4	3.1
	"Kidney and Renal Pelvis"	"29020"	"Kentucky"	"21"	"2017"	"2017"	"Male"	"M"	159	2195279	6.6	7.2
	"Kidney and Renal Pelvis"	"29020"	"Kentucky"	"21"	"2019"	"2019"	"Female"	"F"	73	2269036	2.3	3.2
	"Kidney and Renal Pelvis"	"29020"	"Kentucky"	"21"	"2019"	"2019"	"Male"	"M"	181	2203309	7.3	8.2
	"Kidney and Renal Pelvis"	"29020"	"Louisiana"	"22"	"2017"	"2017"	"Female"	"F"	91	2390634	2.9	3.8
	"Kidney and Renal Pelvis"	"29020"	"Louisiana"	"22"	"2017"	"2017"	"Male"	"M"	159	2283039	6.6	7.0
	"Kidney and Renal Pelvis"	"29020"	"Louisiana"	"22"	"2019"	"2019"	"Female"	"F"	86	2385969	2.7	3.6
	"Kidney and Renal Pelvis"	"29020"	"Louisiana"	"22"	"2019"	"2019"	"Male"	"M"	169	2272316	6.9	7.4
	"Kidney and Renal Pelvis"	"29020"	"Maine"	"23"	"2017"	"2017"	"Female"	"F"	19	681559	1.7	2.8
	"Kidney and Renal Pelvis"	"29020"	"Maine"	"23"	"2017"	"2017"	"Male"	"M"	51	654184	5.8	7.8
	"Kidney and Renal Pelvis"	"29020"	"Maine"	"23"	"2019"	"2019"	"Female"	"F"	25	686674	2.2	3.6
	"Kidney and Renal Pelvis"	"29020"	"Maine"	"23"	"2019"	"2019"	"Male"	"M"	41	659096	4.6	6.2
	"Kidney and Renal Pelvis"	"29020"	"Maryland"	"24"	"2017"	"2017"	"Female"	"F"	81	3106751	2.1	2.6
	"Kidney and Renal Pelvis"	"29020"	"Maryland"	"24"	"2017"	"2017"	"Male"	"M"	131	2921435	4.3	4.5
	"Kidney and Renal Pelvis"	"29020"	"Maryland"	"24"	"2019"	"2019"	"Female"	"F"	87	3122480	2.1	2.8
	"Kidney and Renal Pelvis"	"29020"	"Maryland"	"24"	"2019"	"2019"	"Male"	"M"	165	2932474	5.2	5.6
	"Kidney and Renal Pelvis"	"29020"	"Massachusetts"	"25"	"2017"	"2017"	"Female"	"F"	84	3532606	1.6	2.4
	"Kidney and Renal Pelvis"	"29020"	"Massachusetts"	"25"	"2017"	"2017"	"Male"	"M"	160	3330954	4.3	4.8
	"Kidney and Renal Pelvis"	"29020"	"Massachusetts"	"25"	"2019"	"2019"	"Female"	"F"	90	3548380	1.7	2.5
