"Notes"	"Cancer Sites"	"Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Age-Adjusted Rate	Age-Adjusted Rate Lower 95% Confidence Interval	Age-Adjusted Rate Upper 95% Confidence Interval	Age-Adjusted Rate Standard Error
	"Stomach"	"21020"	"Oklahoma"	"40"	"2019"	"2019"	114	3960676	2.5	2.1	3.0	0.2
	"Stomach"	"21020"	"Oregon"	"41"	"2017"	"2017"	97	4147294	1.9	1.5	2.3	0.2
	"Stomach"	"21020"	"Oregon"	"41"	"2019"	"2019"	126	4216116	2.4	2.0	2.9	0.2
	"Stomach"	"21020"	"Pennsylvania"	"42"	"2017"	"2017"	455	12794679	2.7	2.4	2.9	0.1
	"Stomach"	"21020"	"Pennsylvania"	"42"	"2019"	"2019"	444	12798883	2.5	2.3	2.7	0.1
	"Stomach"	"21020"	"Rhode Island"	"44"	"2017"	"2017"	33	1056554	2.5	1.7	3.5	0.4
	"Stomach"	"21020"	"Rhode Island"	"44"	"2019"	"2019"	41	1058158	2.8	2.0	3.9	0.4
	"Stomach"	"21020"	"South Carolina"	"45"	"2017"	"2017"	207	5027102	3.3	2.9	3.8	0.2
	"Stomach"	"21020"	"South Carolina"	"45"	"2019"	"2019"	187	5157702	2.8	2.4	3.3	0.2
	"Stomach"	"21020"	"South Dakota"	"46"	"2017"	"2017"	20	873732	2.0	1.2	3.2	0.5
	"Stomach"	"21020"	"South Dakota"	"46"	"2019"	"2019"	23	887127	2.4	1.5	3.6	0.5
	"Stomach"	"21020"	"Tennessee"	"47"	"2017"	"2017"	199	6714748	2.5	2.1	2.8	0.2
	"Stomach"	"21020"	"Tennessee"	"47"	"2019"	"2019"	189	6830325	2.3	1.9	2.6	0.2
	"Stomach"	"21020"	"Texas"	"48"	"2017"	"2017"	956	28291024	3.5	3.3	3.8	0.1
	"Stomach"	"21020"	"Texas"	"48"	"2019"	"2019"	915	28986794	3.1	2.9	3.3	0.1
	"Stomach"	"21020"	"Utah"	"49"	"2017"	"2017"	62	3103540	2.5	1.9	3.1	0.3
	"Stomach"	"21020"	"Utah"	"49"	"2019"	"2019"	59	3203383	2.1	1.6	2.7	0.3
	"Stomach"	"21020"	"Vermont"	"50"	"2017"	"2017"	23	625132	2.7	1.7	4.1	0.6
	"Stomach"	"21020"	"Vermont"	"50"	"2019"	"2019"	20	624046	2.5	1.5	3.9	0.6
	"Stomach"	"21020"	"Virginia"	"51"	"2017"	"2017"	298	8471011	3.1	2.7	3.4	0.2
	"Stomach"	"21020"	"Virginia"	"51"	"2019"	"2019"	273	8556642	2.7	2.4	3.1	0.2
	"Stomach"	"21020"	"Washington"	"53"	"2017"	"2017"	240	7427951	2.8	2.5	3.2	0.2
	"Stomach"	"21020"	"Washington"	"53"	"2019"	"2019"	192	7614024	2.2	1.9	2.5	0.2
	"Stomach"	"21020"	"West Virginia"	"54"	"2017"	"2017"	60	1818683	2.4	1.8	3.1	0.3
	"Stomach"	"21020"	"West Virginia"	"54"	"2019"	"2019"	46	1795263	1.8	1.3	2.4	0.3
	"Stomach"	"21020"	"Wisconsin"	"55"	"2017"	"2017"	169	5793147	2.3	2.0	2.7	0.2
	"Stomach"	"21020"	"Wisconsin"	"55"	"2019"	"2019"	192	5824581	2.6	2.2	3.0	0.2
	"Small Intestine"	"21030"	"Alabama"	"01"	"2017"	"2017"	19	4877989	0.3	0.2	0.5	0.1
	"Small Intestine"	"21030"	"Alabama"	"01"	"2019"	"2019"	18	4907965	0.3	0.2	0.5	0.1
	"Small Intestine"	"21030"	"Arizona"	"04"	"2017"	"2017"	30	7048088	0.3	0.2	0.5	0.1
	"Small Intestine"	"21030"	"Arizona"	"04"	"2019"	"2019"	31	7291843	0.3	0.2	0.5	0.1
	"Small Intestine"	"21030"	"Arkansas"	"05"	"2017"	"2017"	17	3003855	0.5	0.3	0.8	0.1
	"Small Intestine"	"21030"	"California"	"06"	"2017"	"2017"	172	39337785	0.4	0.3	0.5	0.0
	"Small Intestine"	"21030"	"California"	"06"	"2019"	"2019"	169	39437610	0.4	0.3	0.4	0.0
	"Small Intestine"	"21030"	"Colorado"	"08"	"2017"	"2017"	16	5617421	0.3	0.2	0.5	0.1
	"Small Intestine"	"21030"	"Colorado"	"08"	"2019"	"2019"	27	5758486	0.4	0.3	0.6	0.1
	"Small Intestine"	"21030"	"Connecticut"	"09"	"2017"	"2017"	22	3575324	0.5	0.3	0.7	0.1
	"Small Intestine"	"21030"	"Connecticut"	"09"	"2019"	"2019"	19	3566022	0.4	0.2	0.6	0.1
	"Small Intestine"	"21030"	"Florida"	"12"	"2017"	"2017"	93	20977089	0.3	0.3	0.4	0.0
	"Small Intestine"	"21030"	"Florida"	"12"	"2019"	"2019"	123	21492056	0.4	0.3	0.4	0.0
	"Small Intestine"	"21030"	"Georgia"	"13"	"2017"	"2017"	51	10417031	0.5	0.4	0.6	0.1
	"Small Intestine"	"21030"	"Georgia"	"13"	"2019"	"2019"	32	10628020	0.3	0.2	0.4	0.0
	"Small Intestine"	"21030"	"Illinois"	"17"	"2017"	"2017"	69	12779893	0.4	0.3	0.6	0.1
	"Small Intestine"	"21030"	"Illinois"	"17"	"2019"	"2019"	66	12667017	0.4	0.3	0.5	0.1
	"Small Intestine"	"21030"	"Indiana"	"18"	"2017"	"2017"	39	6662068	0.5	0.4	0.7	0.1
	"Small Intestine"	"21030"	"Indiana"	"18"	"2019"	"2019"	37	6731010	0.5	0.3	0.6	0.1
	"Small Intestine"	"21030"	"Iowa"	"19"	"2017"	"2017"	22	3143734	0.5	0.3	0.8	0.1
	"Small Intestine"	"21030"	"Iowa"	"19"	"2019"	"2019"	17	3159596	0.4	0.2	0.6	0.1
	"Small Intestine"	"21030"	"Kansas"	"20"	"2017"	"2017"	19	2910892	0.5	0.3	0.9	0.1
	"Small Intestine"	"21030"	"Kansas"	"20"	"2019"	"2019"	22	2912635	0.7	0.4	1.0	0.1
	"Small Intestine"	"21030"	"Kentucky"	"21"	"2017"	"2017"	20	4455590	0.4	0.2	0.6	0.1
	"Small Intestine"	"21030"	"Kentucky"	"21"	"2019"	"2019"	18	4472345	0.3	0.2	0.5	0.1
	"Small Intestine"	"21030"	"Louisiana"	"22"	"2017"	"2017"	23	4673673	0.5	0.3	0.7	0.1
	"Small Intestine"	"21030"	"Louisiana"	"22"	"2019"	"2019"	23	4658285	0.4	0.3	0.6	0.1
	"Small Intestine"	"21030"	"Maryland"	"24"	"2017"	"2017"	36	6028186	0.5	0.4	0.7	0.1
	"Small Intestine"	"21030"	"Maryland"	"24"	"2019"	"2019"	39	6054954	0.5	0.4	0.7	0.1
	"Small Intestine"	"21030"	"Massachusetts"	"25"	"2017"	"2017"	42	6863560	0.5	0.4	0.7	0.1
	"Small Intestine"	"21030"	"Massachusetts"	"25"	"2019"	"2019"	35	6894883	0.4	0.3	0.6	0.1
	"Small Intestine"	"21030"	"Michigan"	"26"	"2017"	"2017"	56	9976752	0.5	0.3	0.6	0.1
	"Small Intestine"	"21030"	"Michigan"	"26"	"2019"	"2019"	61	9984795	0.5	0.3	0.6	0.1
	"Small Intestine"	"21030"	"Minnesota"	"27"	"2017"	"2017"	31	5569283	0.4	0.3	0.6	0.1
	"Small Intestine"	"21030"	"Minnesota"	"27"	"2019"	"2019"	30	5640053	0.5	0.3	0.7	0.1
	"Small Intestine"	"21030"	"Missouri"	"29"	"2017"	"2017"	40	6111382	0.5	0.4	0.7	0.1
	"Small Intestine"	"21030"	"Missouri"	"29"	"2019"	"2019"	28	6140475	0.4	0.2	0.5	0.1
	"Small Intestine"	"21030"	"New Jersey"	"34"	"2017"	"2017"	40	8888147	0.4	0.3	0.5	0.1
	"Small Intestine"	"21030"	"New Jersey"	"34"	"2019"	"2019"	45	8891258	0.4	0.3	0.5	0.1
	"Small Intestine"	"21030"	"New York"	"36"	"2017"	"2017"	109	19593849	0.4	0.4	0.5	0.0
	"Small Intestine"	"21030"	"New York"	"36"	"2019"	"2019"	108	19463131	0.4	0.4	0.5	0.0
	"Small Intestine"	"21030"	"North Carolina"	"37"	"2017"	"2017"	58	10275758	0.5	0.4	0.6	0.1
	"Small Intestine"	"21030"	"North Carolina"	"37"	"2019"	"2019"	71	10501384	0.5	0.4	0.7	0.1
	"Small Intestine"	"21030"	"Ohio"	"39"	"2017"	"2017"	70	11665706	0.5	0.4	0.6	0.1
	"Small Intestine"	"21030"	"Ohio"	"39"	"2019"	"2019"	86	11696507	0.5	0.4	0.7	0.1
	"Small Intestine"	"21030"	"Oklahoma"	"40"	"2017"	"2017"	25	3933602	0.6	0.4	0.8	0.1
	"Small Intestine"	"21030"	"Oklahoma"	"40"	"2019"	"2019"	24	3960676	0.5	0.3	0.7	0.1
	"Small Intestine"	"21030"	"Oregon"	"41"	"2017"	"2017"	31	4147294	0.6	0.4	0.9	0.1
	"Small Intestine"	"21030"	"Oregon"	"41"	"2019"	"2019"	19	4216116	0.4	0.2	0.6	0.1
	"Small Intestine"	"21030"	"Pennsylvania"	"42"	"2017"	"2017"	71	12794679	0.4	0.3	0.5	0.0
	"Small Intestine"	"21030"	"Pennsylvania"	"42"	"2019"	"2019"	91	12798883	0.5	0.4	0.6	0.1
	"Small Intestine"	"21030"	"South Carolina"	"45"	"2017"	"2017"	34	5027102	0.5	0.4	0.7	0.1
	"Small Intestine"	"21030"	"South Carolina"	"45"	"2019"	"2019"	29	5157702	0.4	0.3	0.6	0.1
	"Small Intestine"	"21030"	"Tennessee"	"47"	"2017"	"2017"	36	6714748	0.5	0.3	0.6	0.1
	"Small Intestine"	"21030"	"Tennessee"	"47"	"2019"	"2019"	45	6830325	0.5	0.4	0.7	0.1
	"Small Intestine"	"21030"	"Texas"	"48"	"2017"	"2017"	129	28291024	0.5	0.4	0.6	0.0
	"Small Intestine"	"21030"	"Texas"	"48"	"2019"	"2019"	110	28986794	0.4	0.3	0.5	0.0
	"Small Intestine"	"21030"	"Virginia"	"51"	"2017"	"2017"	51	8471011	0.5	0.4	0.7	0.1
	"Small Intestine"	"21030"	"Virginia"	"51"	"2019"	"2019"	44	8556642	0.4	0.3	0.6	0.1
	"Small Intestine"	"21030"	"Washington"	"53"	"2017"	"2017"	46	7427951	0.5	0.4	0.7	0.1
	"Small Intestine"	"21030"	"Washington"	"53"	"2019"	"2019"	42	7614024	0.5	0.3	0.6	0.1
	"Small Intestine"	"21030"	"Wisconsin"	"55"	"2017"	"2017"	41	5793147	0.6	0.4	0.8	0.1
	"Small Intestine"	"21030"	"Wisconsin"	"55"	"2019"	"2019"	46	5824581	0.6	0.4	0.8	0.1
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2017"	"2017"	954	4877989	15.8	14.8	16.9	0.5
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2019"	"2019"	875	4907965	13.9	13.0	14.9	0.5
	"Colon and Rectum"	"21041-21052"	"Alaska"	"02"	"2017"	"2017"	105	740983	15.8	12.7	19.3	1.6
	"Colon and Rectum"	"21041-21052"	"Alaska"	"02"	"2019"	"2019"	97	733603	13.8	11.1	17.0	1.5
	"Colon and Rectum"	"21041-21052"	"Arizona"	"04"	"2017"	"2017"	1110	7048088	12.6	11.9	13.4	0.4
	"Colon and Rectum"	"21041-21052"	"Arizona"	"04"	"2019"	"2019"	1094	7291843	11.7	11.0	12.4	0.4
	"Colon and Rectum"	"21041-21052"	"Arkansas"	"05"	"2017"	"2017"	571	3003855	15.5	14.3	16.9	0.7
	"Colon and Rectum"	"21041-21052"	"Arkansas"	"05"	"2019"	"2019"	600	3020985	15.5	14.3	16.8	0.6
	"Colon and Rectum"	"21041-21052"	"California"	"06"	"2017"	"2017"	5288	39337785	12.2	11.9	12.6	0.2
	"Colon and Rectum"	"21041-21052"	"California"	"06"	"2019"	"2019"	5379	39437610	12.0	11.6	12.3	0.2
	"Colon and Rectum"	"21041-21052"	"Colorado"	"08"	"2017"	"2017"	705	5617421	11.9	11.0	12.8	0.5
	"Colon and Rectum"	"21041-21052"	"Colorado"	"08"	"2019"	"2019"	678	5758486	10.9	10.1	11.7	0.4
	"Colon and Rectum"	"21041-21052"	"Connecticut"	"09"	"2017"	"2017"	473	3575324	10.1	9.2	11.1	0.5
	"Colon and Rectum"	"21041-21052"	"Connecticut"	"09"	"2019"	"2019"	505	3566022	10.2	9.3	11.2	0.5
	"Colon and Rectum"	"21041-21052"	"Delaware"	"10"	"2017"	"2017"	172	957942	13.8	11.7	16.1	1.1
	"Colon and Rectum"	"21041-21052"	"Delaware"	"10"	"2019"	"2019"	163	976668	12.3	10.4	14.4	1.0
	"Colon and Rectum"	"21041-21052"	"District of Columbia"	"11"	"2017"	"2017"	93	697079	13.5	10.8	16.6	1.4
	"Colon and Rectum"	"21041-21052"	"District of Columbia"	"11"	"2019"	"2019"	97	708253	14.2	11.4	17.3	1.5
	"Colon and Rectum"	"21041-21052"	"Florida"	"12"	"2017"	"2017"	3966	20977089	12.9	12.5	13.3	0.2
	"Colon and Rectum"	"21041-21052"	"Florida"	"12"	"2019"	"2019"	3826	21492056	12.0	11.6	12.4	0.2
	"Colon and Rectum"	"21041-21052"	"Georgia"	"13"	"2017"	"2017"	1610	10417031	14.6	13.9	15.3	0.4
	"Colon and Rectum"	"21041-21052"	"Georgia"	"13"	"2019"	"2019"	1574	10628020	13.5	12.8	14.2	0.3
	"Colon and Rectum"	"21041-21052"	"Hawaii"	"15"	"2017"	"2017"	224	1425763	11.6	10.1	13.3	0.8
	"Colon and Rectum"	"21041-21052"	"Hawaii"	"15"	"2019"	"2019"	248	1415615	12.8	11.2	14.5	0.8
	"Colon and Rectum"	"21041-21052"	"Idaho"	"16"	"2017"	"2017"	257	1719745	13.2	11.6	14.9	0.8
	"Colon and Rectum"	"21041-21052"	"Idaho"	"16"	"2019"	"2019"	252	1789060	12.3	10.8	14.0	0.8
	"Colon and Rectum"	"21041-21052"	"Illinois"	"17"	"2017"	"2017"	2223	12779893	14.7	14.0	15.3	0.3
	"Colon and Rectum"	"21041-21052"	"Illinois"	"17"	"2019"	"2019"	2141	12667017	13.7	13.1	14.3	0.3
	"Colon and Rectum"	"21041-21052"	"Indiana"	"18"	"2017"	"2017"	1222	6662068	15.6	14.8	16.6	0.5
	"Colon and Rectum"	"21041-21052"	"Indiana"	"18"	"2019"	"2019"	1199	6731010	14.8	13.9	15.7	0.4
	"Colon and Rectum"	"21041-21052"	"Iowa"	"19"	"2017"	"2017"	555	3143734	13.5	12.3	14.7	0.6
	"Colon and Rectum"	"21041-21052"	"Iowa"	"19"	"2019"	"2019"	552	3159596	13.2	12.1	14.4	0.6
	"Colon and Rectum"	"21041-21052"	"Kansas"	"20"	"2017"	"2017"	508	2910892	14.6	13.4	16.0	0.7
	"Colon and Rectum"	"21041-21052"	"Kansas"	"20"	"2019"	"2019"	449	2912635	12.6	11.4	13.8	0.6
	"Colon and Rectum"	"21041-21052"	"Kentucky"	"21"	"2017"	"2017"	886	4455590	16.7	15.6	17.8	0.6
	"Colon and Rectum"	"21041-21052"	"Kentucky"	"21"	"2019"	"2019"	888	4472345	15.9	14.8	17.0	0.5
	"Colon and Rectum"	"21041-21052"	"Louisiana"	"22"	"2017"	"2017"	903	4673673	16.7	15.6	17.8	0.6
	"Colon and Rectum"	"21041-21052"	"Louisiana"	"22"	"2019"	"2019"	875	4658285	15.6	14.6	16.7	0.5
	"Colon and Rectum"	"21041-21052"	"Maine"	"23"	"2017"	"2017"	242	1335743	12.5	10.9	14.2	0.8
	"Colon and Rectum"	"21041-21052"	"Maine"	"23"	"2019"	"2019"	250	1345770	12.6	11.0	14.4	0.8
	"Colon and Rectum"	"21041-21052"	"Maryland"	"24"	"2017"	"2017"	947	6028186	13.3	12.5	14.2	0.4
	"Colon and Rectum"	"21041-21052"	"Maryland"	"24"	"2019"	"2019"	967	6054954	13.1	12.3	14.0	0.4
	"Colon and Rectum"	"21041-21052"	"Massachusetts"	"25"	"2017"	"2017"	975	6863560	11.4	10.6	12.1	0.4
	"Colon and Rectum"	"21041-21052"	"Massachusetts"	"25"	"2019"	"2019"	959	6894883	10.8	10.1	11.5	0.4
	"Colon and Rectum"	"21041-21052"	"Michigan"	"26"	"2017"	"2017"	1709	9976752	13.6	12.9	14.3	0.3
	"Colon and Rectum"	"21041-21052"	"Michigan"	"26"	"2019"	"2019"	1708	9984795	13.1	12.5	13.8	0.3
	"Colon and Rectum"	"21041-21052"	"Minnesota"	"27"	"2017"	"2017"	788	5569283	11.8	11.0	12.7	0.4
	"Colon and Rectum"	"21041-21052"	"Minnesota"	"27"	"2019"	"2019"	784	5640053	11.2	10.4	12.0	0.4
	"Colon and Rectum"	"21041-21052"	"Mississippi"	"28"	"2017"	"2017"	615	2990674	17.1	15.8	18.6	0.7
	"Colon and Rectum"	"21041-21052"	"Mississippi"	"28"	"2019"	"2019"	641	2978227	17.7	16.3	19.2	0.7
	"Colon and Rectum"	"21041-21052"	"Missouri"	"29"	"2017"	"2017"	1084	6111382	14.1	13.3	15.0	0.4
	"Colon and Rectum"	"21041-21052"	"Missouri"	"29"	"2019"	"2019"	1052	6140475	13.3	12.5	14.2	0.4
	"Colon and Rectum"	"21041-21052"	"Montana"	"30"	"2017"	"2017"	169	1053862	12.2	10.4	14.3	1.0
	"Colon and Rectum"	"21041-21052"	"Montana"	"30"	"2019"	"2019"	176	1070123	12.2	10.4	14.3	1.0
	"Colon and Rectum"	"21041-21052"	"Nebraska"	"31"	"2017"	"2017"	312	1916998	13.6	12.1	15.2	0.8
	"Colon and Rectum"	"21041-21052"	"Nebraska"	"31"	"2019"	"2019"	340	1932571	14.5	12.9	16.2	0.8
	"Colon and Rectum"	"21041-21052"	"Nevada"	"32"	"2017"	"2017"	575	2972097	17.1	15.7	18.6	0.7
	"Colon and Rectum"	"21041-21052"	"Nevada"	"32"	"2019"	"2019"	479	3090771	13.2	12.0	14.5	0.6
	"Colon and Rectum"	"21041-21052"	"New Hampshire"	"33"	"2017"	"2017"	235	1350395	13.0	11.4	14.9	0.9
	"Colon and Rectum"	"21041-21052"	"New Hampshire"	"33"	"2019"	"2019"	210	1360783	11.2	9.7	12.9	0.8
	"Colon and Rectum"	"21041-21052"	"New Jersey"	"34"	"2017"	"2017"	1499	8888147	13.3	12.7	14.0	0.4
	"Colon and Rectum"	"21041-21052"	"New Jersey"	"34"	"2019"	"2019"	1401	8891258	12.2	11.6	12.9	0.3
	"Colon and Rectum"	"21041-21052"	"New Mexico"	"35"	"2017"	"2017"	355	2092844	13.9	12.4	15.5	0.8
	"Colon and Rectum"	"21041-21052"	"New Mexico"	"35"	"2019"	"2019"	299	2099634	11.1	9.8	12.4	0.7
	"Colon and Rectum"	"21041-21052"	"New York"	"36"	"2017"	"2017"	3154	19593849	12.8	12.4	13.3	0.2
	"Colon and Rectum"	"21041-21052"	"New York"	"36"	"2019"	"2019"	2844	19463131	11.3	10.9	11.7	0.2
	"Colon and Rectum"	"21041-21052"	"North Carolina"	"37"	"2017"	"2017"	1529	10275758	12.5	11.9	13.2	0.3
	"Colon and Rectum"	"21041-21052"	"North Carolina"	"37"	"2019"	"2019"	1622	10501384	12.6	12.0	13.3	0.3
	"Colon and Rectum"	"21041-21052"	"North Dakota"	"38"	"2017"	"2017"	101	756755	11.0	8.9	13.5	1.1
	"Colon and Rectum"	"21041-21052"	"North Dakota"	"38"	"2019"	"2019"	138	763724	15.0	12.5	17.8	1.3
	"Colon and Rectum"	"21041-21052"	"Ohio"	"39"	"2017"	"2017"	2206	11665706	15.0	14.3	15.6	0.3
	"Colon and Rectum"	"21041-21052"	"Ohio"	"39"	"2019"	"2019"	2118	11696507	13.8	13.2	14.4	0.3
	"Colon and Rectum"	"21041-21052"	"Oklahoma"	"40"	"2017"	"2017"	766	3933602	16.7	15.5	18.0	0.6
	"Colon and Rectum"	"21041-21052"	"Oklahoma"	"40"	"2019"	"2019"	720	3960676	15.4	14.3	16.6	0.6
	"Colon and Rectum"	"21041-21052"	"Oregon"	"41"	"2017"	"2017"	635	4147294	12.3	11.4	13.4	0.5
	"Colon and Rectum"	"21041-21052"	"Oregon"	"41"	"2019"	"2019"	669	4216116	12.4	11.4	13.4	0.5
	"Colon and Rectum"	"21041-21052"	"Pennsylvania"	"42"	"2017"	"2017"	2485	12794679	14.1	13.5	14.7	0.3
	"Colon and Rectum"	"21041-21052"	"Pennsylvania"	"42"	"2019"	"2019"	2320	12798883	13.0	12.5	13.6	0.3
	"Colon and Rectum"	"21041-21052"	"Rhode Island"	"44"	"2017"	"2017"	144	1056554	10.4	8.7	12.3	0.9
	"Colon and Rectum"	"21041-21052"	"Rhode Island"	"44"	"2019"	"2019"	168	1058158	11.8	10.0	13.8	0.9
	"Colon and Rectum"	"21041-21052"	"South Carolina"	"45"	"2017"	"2017"	865	5027102	13.6	12.7	14.6	0.5
	"Colon and Rectum"	"21041-21052"	"South Carolina"	"45"	"2019"	"2019"	878	5157702	13.3	12.4	14.2	0.5
	"Colon and Rectum"	"21041-21052"	"South Dakota"	"46"	"2017"	"2017"	161	873732	14.3	12.1	16.8	1.2
	"Colon and Rectum"	"21041-21052"	"South Dakota"	"46"	"2019"	"2019"	150	887127	13.7	11.5	16.2	1.2
	"Colon and Rectum"	"21041-21052"	"Tennessee"	"47"	"2017"	"2017"	1228	6714748	14.9	14.1	15.8	0.4
	"Colon and Rectum"	"21041-21052"	"Tennessee"	"47"	"2019"	"2019"	1258	6830325	15.0	14.2	15.9	0.4
	"Colon and Rectum"	"21041-21052"	"Texas"	"48"	"2017"	"2017"	3831	28291024	13.8	13.3	14.2	0.2
	"Colon and Rectum"	"21041-21052"	"Texas"	"48"	"2019"	"2019"	4028	28986794	13.8	13.3	14.2	0.2
	"Colon and Rectum"	"21041-21052"	"Utah"	"49"	"2017"	"2017"	272	3103540	10.4	9.2	11.8	0.6
	"Colon and Rectum"	"21041-21052"	"Utah"	"49"	"2019"	"2019"	321	3203383	11.5	10.2	12.8	0.6
	"Colon and Rectum"	"21041-21052"	"Vermont"	"50"	"2017"	"2017"	128	625132	15.4	12.7	18.5	1.4
	"Colon and Rectum"	"21041-21052"	"Vermont"	"50"	"2019"	"2019"	109	624046	12.3	10.0	15.1	1.2
	"Colon and Rectum"	"21041-21052"	"Virginia"	"51"	"2017"	"2017"	1311	8471011	13.5	12.7	14.2	0.4
	"Colon and Rectum"	"21041-21052"	"Virginia"	"51"	"2019"	"2019"	1316	8556642	12.8	12.1	13.5	0.4
	"Colon and Rectum"	"21041-21052"	"Washington"	"53"	"2017"	"2017"	1046	7427951	12.4	11.7	13.2	0.4
	"Colon and Rectum"	"21041-21052"	"Washington"	"53"	"2019"	"2019"	1071	7614024	12.0	11.3	12.8	0.4
	"Colon and Rectum"	"21041-21052"	"West Virginia"	"54"	"2017"	"2017"	394	1818683	15.4	13.9	17.1	0.8
	"Colon and Rectum"	"21041-21052"	"West Virginia"	"54"	"2019"	"2019"	423	1795263	15.9	14.4	17.6	0.8
	"Colon and Rectum"	"21041-21052"	"Wisconsin"	"55"	"2017"	"2017"	889	5793147	12.3	11.5	13.1	0.4
	"Colon and Rectum"	"21041-21052"	"Wisconsin"	"55"	"2019"	"2019"	896	5824581	11.9	11.1	12.7	0.4
	"Colon and Rectum"	"21041-21052"	"Wyoming"	"56"	"2017"	"2017"	72	579994	10.4	8.1	13.2	1.3
	"Colon and Rectum"	"21041-21052"	"Wyoming"	"56"	"2019"	"2019"	89	580116	12.4	9.9	15.3	1.3
	"Colon excluding Rectum"	"21041-21049"	"Alabama"	"01"	"2017"	"2017"	796	4877989	13.2	12.2	14.1	0.5
	"Colon excluding Rectum"	"21041-21049"	"Alabama"	"01"	"2019"	"2019"	729	4907965	11.6	10.8	12.5	0.4
	"Colon excluding Rectum"	"21041-21049"	"Alaska"	"02"	"2017"	"2017"	80	740983	12.2	9.5	15.3	1.5
	"Colon excluding Rectum"	"21041-21049"	"Alaska"	"02"	"2019"	"2019"	78	733603	10.8	8.4	13.6	1.3
	"Colon excluding Rectum"	"21041-21049"	"Arizona"	"04"	"2017"	"2017"	935	7048088	10.7	10.0	11.4	0.4
	"Colon excluding Rectum"	"21041-21049"	"Arizona"	"04"	"2019"	"2019"	888	7291843	9.4	8.8	10.1	0.3
	"Colon excluding Rectum"	"21041-21049"	"Arkansas"	"05"	"2017"	"2017"	463	3003855	12.6	11.4	13.8	0.6
	"Colon excluding Rectum"	"21041-21049"	"Arkansas"	"05"	"2019"	"2019"	481	3020985	12.4	11.3	13.6	0.6
	"Colon excluding Rectum"	"21041-21049"	"California"	"06"	"2017"	"2017"	4159	39337785	9.6	9.3	9.9	0.2
	"Colon excluding Rectum"	"21041-21049"	"California"	"06"	"2019"	"2019"	4281	39437610	9.5	9.2	9.8	0.1
	"Colon excluding Rectum"	"21041-21049"	"Colorado"	"08"	"2017"	"2017"	541	5617421	9.2	8.4	10.0	0.4
	"Colon excluding Rectum"	"21041-21049"	"Colorado"	"08"	"2019"	"2019"	516	5758486	8.3	7.6	9.1	0.4
	"Colon excluding Rectum"	"21041-21049"	"Connecticut"	"09"	"2017"	"2017"	366	3575324	7.8	7.0	8.6	0.4
	"Colon excluding Rectum"	"21041-21049"	"Connecticut"	"09"	"2019"	"2019"	382	3566022	7.7	6.9	8.5	0.4
	"Colon excluding Rectum"	"21041-21049"	"Delaware"	"10"	"2017"	"2017"	143	957942	11.5	9.6	13.6	1.0
	"Colon excluding Rectum"	"21041-21049"	"Delaware"	"10"	"2019"	"2019"	125	976668	9.5	7.9	11.4	0.9
	"Colon excluding Rectum"	"21041-21049"	"District of Columbia"	"11"	"2017"	"2017"	69	697079	10.0	7.7	12.7	1.2
	"Colon excluding Rectum"	"21041-21049"	"District of Columbia"	"11"	"2019"	"2019"	80	708253	11.6	9.1	14.5	1.3
	"Colon excluding Rectum"	"21041-21049"	"Florida"	"12"	"2017"	"2017"	3310	20977089	10.7	10.3	11.1	0.2
	"Colon excluding Rectum"	"21041-21049"	"Florida"	"12"	"2019"	"2019"	3171	21492056	9.8	9.5	10.2	0.2
	"Colon excluding Rectum"	"21041-21049"	"Georgia"	"13"	"2017"	"2017"	1291	10417031	11.7	11.1	12.4	0.3
	"Colon excluding Rectum"	"21041-21049"	"Georgia"	"13"	"2019"	"2019"	1303	10628020	11.2	10.6	11.8	0.3
	"Colon excluding Rectum"	"21041-21049"	"Hawaii"	"15"	"2017"	"2017"	174	1425763	9.0	7.7	10.5	0.7
	"Colon excluding Rectum"	"21041-21049"	"Hawaii"	"15"	"2019"	"2019"	180	1415615	9.2	7.8	10.7	0.7
	"Colon excluding Rectum"	"21041-21049"	"Idaho"	"16"	"2017"	"2017"	198	1719745	10.3	8.9	11.9	0.7
	"Colon excluding Rectum"	"21041-21049"	"Idaho"	"16"	"2019"	"2019"	192	1789060	9.4	8.1	10.9	0.7
	"Colon excluding Rectum"	"21041-21049"	"Illinois"	"17"	"2017"	"2017"	1812	12779893	11.9	11.4	12.5	0.3
	"Colon excluding Rectum"	"21041-21049"	"Illinois"	"17"	"2019"	"2019"	1681	12667017	10.7	10.2	11.3	0.3
	"Colon excluding Rectum"	"21041-21049"	"Indiana"	"18"	"2017"	"2017"	935	6662068	12.0	11.2	12.8	0.4
	"Colon excluding Rectum"	"21041-21049"	"Indiana"	"18"	"2019"	"2019"	934	6731010	11.5	10.8	12.3	0.4
	"Colon excluding Rectum"	"21041-21049"	"Iowa"	"19"	"2017"	"2017"	433	3143734	10.4	9.4	11.4	0.5
	"Colon excluding Rectum"	"21041-21049"	"Iowa"	"19"	"2019"	"2019"	443	3159596	10.5	9.5	11.5	0.5
	"Colon excluding Rectum"	"21041-21049"	"Kansas"	"20"	"2017"	"2017"	413	2910892	11.9	10.8	13.2	0.6
