"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Age-Adjusted Rate	Crude Rate
	"Cervix Uteri"	"27010"	"Oklahoma"	"40"	"2019"	"2019"	85	1999160	3.9	4.3
	"Cervix Uteri"	"27010"	"Oregon"	"41"	"2017"	"2017"	47	2091485	1.9	2.2
	"Cervix Uteri"	"27010"	"Oregon"	"41"	"2019"	"2019"	39	2126006	1.6	1.8
	"Cervix Uteri"	"27010"	"Pennsylvania"	"42"	"2017"	"2017"	150	6528507	1.8	2.3
	"Cervix Uteri"	"27010"	"Pennsylvania"	"42"	"2019"	"2019"	146	6526489	1.8	2.2
	"Cervix Uteri"	"27010"	"South Carolina"	"45"	"2017"	"2017"	66	2588374	2.3	2.5
	"Cervix Uteri"	"27010"	"South Carolina"	"45"	"2019"	"2019"	71	2659704	2.2	2.7
	"Cervix Uteri"	"27010"	"Tennessee"	"47"	"2017"	"2017"	103	3438006	2.5	3.0
	"Cervix Uteri"	"27010"	"Tennessee"	"47"	"2019"	"2019"	110	3498429	2.8	3.1
	"Cervix Uteri"	"27010"	"Texas"	"48"	"2017"	"2017"	429	14238026	3.0	3.0
	"Cervix Uteri"	"27010"	"Texas"	"48"	"2019"	"2019"	395	14591903	2.7	2.7
	"Cervix Uteri"	"27010"	"Utah"	"49"	"2017"	"2017"	30	1540562	2.0	1.9
	"Cervix Uteri"	"27010"	"Utah"	"49"	"2019"	"2019"	18	1589845	1.3	1.1
	"Cervix Uteri"	"27010"	"Virginia"	"51"	"2017"	"2017"	83	4302531	1.7	1.9
	"Cervix Uteri"	"27010"	"Virginia"	"51"	"2019"	"2019"	86	4345858	1.6	2.0
	"Cervix Uteri"	"27010"	"Washington"	"53"	"2017"	"2017"	72	3712553	1.7	1.9
	"Cervix Uteri"	"27010"	"Washington"	"53"	"2019"	"2019"	66	3802546	1.6	1.7
	"Cervix Uteri"	"27010"	"West Virginia"	"54"	"2017"	"2017"	29	918498	2.5	3.2
	"Cervix Uteri"	"27010"	"West Virginia"	"54"	"2019"	"2019"	39	906103	3.8	4.3
	"Cervix Uteri"	"27010"	"Wisconsin"	"55"	"2017"	"2017"	47	2911984	1.3	1.6
	"Cervix Uteri"	"27010"	"Wisconsin"	"55"	"2019"	"2019"	58	2925732	1.6	2.0
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2017"	"2017"	954	4877989	15.8	19.6
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2019"	"2019"	875	4907965	13.9	17.8
	"Colon and Rectum"	"21041-21052"	"Alaska"	"02"	"2017"	"2017"	105	740983	15.8	14.2
	"Colon and Rectum"	"21041-21052"	"Alaska"	"02"	"2019"	"2019"	97	733603	13.8	13.2
	"Colon and Rectum"	"21041-21052"	"Arizona"	"04"	"2017"	"2017"	1110	7048088	12.6	15.7
	"Colon and Rectum"	"21041-21052"	"Arizona"	"04"	"2019"	"2019"	1094	7291843	11.7	15.0
	"Colon and Rectum"	"21041-21052"	"Arkansas"	"05"	"2017"	"2017"	571	3003855	15.5	19.0
	"Colon and Rectum"	"21041-21052"	"Arkansas"	"05"	"2019"	"2019"	600	3020985	15.5	19.9
	"Colon and Rectum"	"21041-21052"	"California"	"06"	"2017"	"2017"	5288	39337785	12.2	13.4
	"Colon and Rectum"	"21041-21052"	"California"	"06"	"2019"	"2019"	5379	39437610	12.0	13.6
	"Colon and Rectum"	"21041-21052"	"Colorado"	"08"	"2017"	"2017"	705	5617421	11.9	12.6
	"Colon and Rectum"	"21041-21052"	"Colorado"	"08"	"2019"	"2019"	678	5758486	10.9	11.8
	"Colon and Rectum"	"21041-21052"	"Connecticut"	"09"	"2017"	"2017"	473	3575324	10.1	13.2
	"Colon and Rectum"	"21041-21052"	"Connecticut"	"09"	"2019"	"2019"	505	3566022	10.2	14.2
	"Colon and Rectum"	"21041-21052"	"Delaware"	"10"	"2017"	"2017"	172	957942	13.8	18.0
	"Colon and Rectum"	"21041-21052"	"Delaware"	"10"	"2019"	"2019"	163	976668	12.3	16.7
	"Colon and Rectum"	"21041-21052"	"District of Columbia"	"11"	"2017"	"2017"	93	697079	13.5	13.3
	"Colon and Rectum"	"21041-21052"	"District of Columbia"	"11"	"2019"	"2019"	97	708253	14.2	13.7
	"Colon and Rectum"	"21041-21052"	"Florida"	"12"	"2017"	"2017"	3966	20977089	12.9	18.9
	"Colon and Rectum"	"21041-21052"	"Florida"	"12"	"2019"	"2019"	3826	21492056	12.0	17.8
	"Colon and Rectum"	"21041-21052"	"Georgia"	"13"	"2017"	"2017"	1610	10417031	14.6	15.5
	"Colon and Rectum"	"21041-21052"	"Georgia"	"13"	"2019"	"2019"	1574	10628020	13.5	14.8
	"Colon and Rectum"	"21041-21052"	"Hawaii"	"15"	"2017"	"2017"	224	1425763	11.6	15.7
	"Colon and Rectum"	"21041-21052"	"Hawaii"	"15"	"2019"	"2019"	248	1415615	12.8	17.5
	"Colon and Rectum"	"21041-21052"	"Idaho"	"16"	"2017"	"2017"	257	1719745	13.2	14.9
	"Colon and Rectum"	"21041-21052"	"Idaho"	"16"	"2019"	"2019"	252	1789060	12.3	14.1
	"Colon and Rectum"	"21041-21052"	"Illinois"	"17"	"2017"	"2017"	2223	12779893	14.7	17.4
	"Colon and Rectum"	"21041-21052"	"Illinois"	"17"	"2019"	"2019"	2141	12667017	13.7	16.9
	"Colon and Rectum"	"21041-21052"	"Indiana"	"18"	"2017"	"2017"	1222	6662068	15.6	18.3
	"Colon and Rectum"	"21041-21052"	"Indiana"	"18"	"2019"	"2019"	1199	6731010	14.8	17.8
	"Colon and Rectum"	"21041-21052"	"Iowa"	"19"	"2017"	"2017"	555	3143734	13.5	17.7
	"Colon and Rectum"	"21041-21052"	"Iowa"	"19"	"2019"	"2019"	552	3159596	13.2	17.5
	"Colon and Rectum"	"21041-21052"	"Kansas"	"20"	"2017"	"2017"	508	2910892	14.6	17.5
	"Colon and Rectum"	"21041-21052"	"Kansas"	"20"	"2019"	"2019"	449	2912635	12.6	15.4
	"Colon and Rectum"	"21041-21052"	"Kentucky"	"21"	"2017"	"2017"	886	4455590	16.7	19.9
	"Colon and Rectum"	"21041-21052"	"Kentucky"	"21"	"2019"	"2019"	888	4472345	15.9	19.9
	"Colon and Rectum"	"21041-21052"	"Louisiana"	"22"	"2017"	"2017"	903	4673673	16.7	19.3
	"Colon and Rectum"	"21041-21052"	"Louisiana"	"22"	"2019"	"2019"	875	4658285	15.6	18.8
	"Colon and Rectum"	"21041-21052"	"Maine"	"23"	"2017"	"2017"	242	1335743	12.5	18.1
	"Colon and Rectum"	"21041-21052"	"Maine"	"23"	"2019"	"2019"	250	1345770	12.6	18.6
	"Colon and Rectum"	"21041-21052"	"Maryland"	"24"	"2017"	"2017"	947	6028186	13.3	15.7
	"Colon and Rectum"	"21041-21052"	"Maryland"	"24"	"2019"	"2019"	967	6054954	13.1	16.0
	"Colon and Rectum"	"21041-21052"	"Massachusetts"	"25"	"2017"	"2017"	975	6863560	11.4	14.2
	"Colon and Rectum"	"21041-21052"	"Massachusetts"	"25"	"2019"	"2019"	959	6894883	10.8	13.9
	"Colon and Rectum"	"21041-21052"	"Michigan"	"26"	"2017"	"2017"	1709	9976752	13.6	17.1
	"Colon and Rectum"	"21041-21052"	"Michigan"	"26"	"2019"	"2019"	1708	9984795	13.1	17.1
	"Colon and Rectum"	"21041-21052"	"Minnesota"	"27"	"2017"	"2017"	788	5569283	11.8	14.1
	"Colon and Rectum"	"21041-21052"	"Minnesota"	"27"	"2019"	"2019"	784	5640053	11.2	13.9
	"Colon and Rectum"	"21041-21052"	"Mississippi"	"28"	"2017"	"2017"	615	2990674	17.1	20.6
	"Colon and Rectum"	"21041-21052"	"Mississippi"	"28"	"2019"	"2019"	641	2978227	17.7	21.5
	"Colon and Rectum"	"21041-21052"	"Missouri"	"29"	"2017"	"2017"	1084	6111382	14.1	17.7
	"Colon and Rectum"	"21041-21052"	"Missouri"	"29"	"2019"	"2019"	1052	6140475	13.3	17.1
	"Colon and Rectum"	"21041-21052"	"Montana"	"30"	"2017"	"2017"	169	1053862	12.2	16.0
	"Colon and Rectum"	"21041-21052"	"Montana"	"30"	"2019"	"2019"	176	1070123	12.2	16.4
	"Colon and Rectum"	"21041-21052"	"Nebraska"	"31"	"2017"	"2017"	312	1916998	13.6	16.3
	"Colon and Rectum"	"21041-21052"	"Nebraska"	"31"	"2019"	"2019"	340	1932571	14.5	17.6
	"Colon and Rectum"	"21041-21052"	"Nevada"	"32"	"2017"	"2017"	575	2972097	17.1	19.3
	"Colon and Rectum"	"21041-21052"	"Nevada"	"32"	"2019"	"2019"	479	3090771	13.2	15.5
	"Colon and Rectum"	"21041-21052"	"New Hampshire"	"33"	"2017"	"2017"	235	1350395	13.0	17.4
	"Colon and Rectum"	"21041-21052"	"New Hampshire"	"33"	"2019"	"2019"	210	1360783	11.2	15.4
	"Colon and Rectum"	"21041-21052"	"New Jersey"	"34"	"2017"	"2017"	1499	8888147	13.3	16.9
	"Colon and Rectum"	"21041-21052"	"New Jersey"	"34"	"2019"	"2019"	1401	8891258	12.2	15.8
	"Colon and Rectum"	"21041-21052"	"New Mexico"	"35"	"2017"	"2017"	355	2092844	13.9	17.0
	"Colon and Rectum"	"21041-21052"	"New Mexico"	"35"	"2019"	"2019"	299	2099634	11.1	14.2
	"Colon and Rectum"	"21041-21052"	"New York"	"36"	"2017"	"2017"	3154	19593849	12.8	16.1
	"Colon and Rectum"	"21041-21052"	"New York"	"36"	"2019"	"2019"	2844	19463131	11.3	14.6
	"Colon and Rectum"	"21041-21052"	"North Carolina"	"37"	"2017"	"2017"	1529	10275758	12.5	14.9
	"Colon and Rectum"	"21041-21052"	"North Carolina"	"37"	"2019"	"2019"	1622	10501384	12.6	15.4
	"Colon and Rectum"	"21041-21052"	"North Dakota"	"38"	"2017"	"2017"	101	756755	11.0	13.3
	"Colon and Rectum"	"21041-21052"	"North Dakota"	"38"	"2019"	"2019"	138	763724	15.0	18.1
	"Colon and Rectum"	"21041-21052"	"Ohio"	"39"	"2017"	"2017"	2206	11665706	15.0	18.9
	"Colon and Rectum"	"21041-21052"	"Ohio"	"39"	"2019"	"2019"	2118	11696507	13.8	18.1
	"Colon and Rectum"	"21041-21052"	"Oklahoma"	"40"	"2017"	"2017"	766	3933602	16.7	19.5
	"Colon and Rectum"	"21041-21052"	"Oklahoma"	"40"	"2019"	"2019"	720	3960676	15.4	18.2
	"Colon and Rectum"	"21041-21052"	"Oregon"	"41"	"2017"	"2017"	635	4147294	12.3	15.3
	"Colon and Rectum"	"21041-21052"	"Oregon"	"41"	"2019"	"2019"	669	4216116	12.4	15.9
	"Colon and Rectum"	"21041-21052"	"Pennsylvania"	"42"	"2017"	"2017"	2485	12794679	14.1	19.4
	"Colon and Rectum"	"21041-21052"	"Pennsylvania"	"42"	"2019"	"2019"	2320	12798883	13.0	18.1
	"Colon and Rectum"	"21041-21052"	"Rhode Island"	"44"	"2017"	"2017"	144	1056554	10.4	13.6
	"Colon and Rectum"	"21041-21052"	"Rhode Island"	"44"	"2019"	"2019"	168	1058158	11.8	15.9
	"Colon and Rectum"	"21041-21052"	"South Carolina"	"45"	"2017"	"2017"	865	5027102	13.6	17.2
	"Colon and Rectum"	"21041-21052"	"South Carolina"	"45"	"2019"	"2019"	878	5157702	13.3	17.0
	"Colon and Rectum"	"21041-21052"	"South Dakota"	"46"	"2017"	"2017"	161	873732	14.3	18.4
	"Colon and Rectum"	"21041-21052"	"South Dakota"	"46"	"2019"	"2019"	150	887127	13.7	16.9
	"Colon and Rectum"	"21041-21052"	"Tennessee"	"47"	"2017"	"2017"	1228	6714748	14.9	18.3
	"Colon and Rectum"	"21041-21052"	"Tennessee"	"47"	"2019"	"2019"	1258	6830325	15.0	18.4
	"Colon and Rectum"	"21041-21052"	"Texas"	"48"	"2017"	"2017"	3831	28291024	13.8	13.5
	"Colon and Rectum"	"21041-21052"	"Texas"	"48"	"2019"	"2019"	4028	28986794	13.8	13.9
	"Colon and Rectum"	"21041-21052"	"Utah"	"49"	"2017"	"2017"	272	3103540	10.4	8.8
	"Colon and Rectum"	"21041-21052"	"Utah"	"49"	"2019"	"2019"	321	3203383	11.5	10.0
	"Colon and Rectum"	"21041-21052"	"Vermont"	"50"	"2017"	"2017"	128	625132	15.4	20.5
	"Colon and Rectum"	"21041-21052"	"Vermont"	"50"	"2019"	"2019"	109	624046	12.3	17.5
	"Colon and Rectum"	"21041-21052"	"Virginia"	"51"	"2017"	"2017"	1311	8471011	13.5	15.5
	"Colon and Rectum"	"21041-21052"	"Virginia"	"51"	"2019"	"2019"	1316	8556642	12.8	15.4
	"Colon and Rectum"	"21041-21052"	"Washington"	"53"	"2017"	"2017"	1046	7427951	12.4	14.1
	"Colon and Rectum"	"21041-21052"	"Washington"	"53"	"2019"	"2019"	1071	7614024	12.0	14.1
	"Colon and Rectum"	"21041-21052"	"West Virginia"	"54"	"2017"	"2017"	394	1818683	15.4	21.7
	"Colon and Rectum"	"21041-21052"	"West Virginia"	"54"	"2019"	"2019"	423	1795263	15.9	23.6
	"Colon and Rectum"	"21041-21052"	"Wisconsin"	"55"	"2017"	"2017"	889	5793147	12.3	15.3
	"Colon and Rectum"	"21041-21052"	"Wisconsin"	"55"	"2019"	"2019"	896	5824581	11.9	15.4
	"Colon and Rectum"	"21041-21052"	"Wyoming"	"56"	"2017"	"2017"	72	579994	10.4	12.4
	"Colon and Rectum"	"21041-21052"	"Wyoming"	"56"	"2019"	"2019"	89	580116	12.4	15.3
	"Corpus Uteri"	"27020"	"Alabama"	"01"	"2017"	"2017"	77	2517486	2.3	3.1
	"Corpus Uteri"	"27020"	"Alabama"	"01"	"2019"	"2019"	94	2536133	2.6	3.7
	"Corpus Uteri"	"27020"	"Arizona"	"04"	"2017"	"2017"	110	3545316	2.3	3.1
	"Corpus Uteri"	"27020"	"Arizona"	"04"	"2019"	"2019"	125	3669041	2.4	3.4
	"Corpus Uteri"	"27020"	"Arkansas"	"05"	"2017"	"2017"	55	1527948	2.6	3.6
	"Corpus Uteri"	"27020"	"Arkansas"	"05"	"2019"	"2019"	46	1538076	2.2	3.0
	"Corpus Uteri"	"27020"	"California"	"06"	"2017"	"2017"	580	19783962	2.4	2.9
	"Corpus Uteri"	"27020"	"California"	"06"	"2019"	"2019"	714	19829085	2.8	3.6
	"Corpus Uteri"	"27020"	"Colorado"	"08"	"2017"	"2017"	77	2789649	2.3	2.8
	"Corpus Uteri"	"27020"	"Colorado"	"08"	"2019"	"2019"	96	2857610	2.7	3.4
	"Corpus Uteri"	"27020"	"Connecticut"	"09"	"2017"	"2017"	60	1831503	2.3	3.3
	"Corpus Uteri"	"27020"	"Connecticut"	"09"	"2019"	"2019"	69	1826990	2.5	3.8
	"Corpus Uteri"	"27020"	"Delaware"	"10"	"2017"	"2017"	19	494606	2.6	3.8
	"Corpus Uteri"	"27020"	"Delaware"	"10"	"2019"	"2019"	34	504571	4.4	6.7
	"Corpus Uteri"	"27020"	"District of Columbia"	"11"	"2017"	"2017"	26	366336	6.8	7.1
	"Corpus Uteri"	"27020"	"District of Columbia"	"11"	"2019"	"2019"	22	372393	5.8	5.9
	"Corpus Uteri"	"27020"	"Florida"	"12"	"2017"	"2017"	390	10720663	2.3	3.6
	"Corpus Uteri"	"27020"	"Florida"	"12"	"2019"	"2019"	463	10987074	2.6	4.2
	"Corpus Uteri"	"27020"	"Georgia"	"13"	"2017"	"2017"	171	5349075	2.6	3.2
	"Corpus Uteri"	"27020"	"Georgia"	"13"	"2019"	"2019"	199	5462335	2.9	3.6
	"Corpus Uteri"	"27020"	"Hawaii"	"15"	"2017"	"2017"	35	710227	3.9	4.9
	"Corpus Uteri"	"27020"	"Hawaii"	"15"	"2019"	"2019"	44	706419	4.3	6.2
	"Corpus Uteri"	"27020"	"Idaho"	"16"	"2017"	"2017"	39	858030	3.6	4.5
	"Corpus Uteri"	"27020"	"Idaho"	"16"	"2019"	"2019"	30	891995	2.5	3.4
	"Corpus Uteri"	"27020"	"Illinois"	"17"	"2017"	"2017"	253	6501339	3.0	3.9
	"Corpus Uteri"	"27020"	"Illinois"	"17"	"2019"	"2019"	299	6443120	3.3	4.6
	"Corpus Uteri"	"27020"	"Indiana"	"18"	"2017"	"2017"	124	3378096	2.8	3.7
	"Corpus Uteri"	"27020"	"Indiana"	"18"	"2019"	"2019"	150	3411571	3.1	4.4
	"Corpus Uteri"	"27020"	"Iowa"	"19"	"2017"	"2017"	83	1579862	3.7	5.3
	"Corpus Uteri"	"27020"	"Iowa"	"19"	"2019"	"2019"	77	1586636	3.3	4.9
	"Corpus Uteri"	"27020"	"Kansas"	"20"	"2017"	"2017"	57	1460476	2.8	3.9
	"Corpus Uteri"	"27020"	"Kansas"	"20"	"2019"	"2019"	31	1462080	1.4	2.1
	"Corpus Uteri"	"27020"	"Kentucky"	"21"	"2017"	"2017"	73	2260311	2.5	3.2
	"Corpus Uteri"	"27020"	"Kentucky"	"21"	"2019"	"2019"	70	2269036	2.2	3.1
	"Corpus Uteri"	"27020"	"Louisiana"	"22"	"2017"	"2017"	84	2390634	2.7	3.5
	"Corpus Uteri"	"27020"	"Louisiana"	"22"	"2019"	"2019"	93	2385969	2.9	3.9
	"Corpus Uteri"	"27020"	"Maine"	"23"	"2017"	"2017"	44	681559	3.8	6.5
	"Corpus Uteri"	"27020"	"Maine"	"23"	"2019"	"2019"	47	686674	4.0	6.8
	"Corpus Uteri"	"27020"	"Maryland"	"24"	"2017"	"2017"	135	3106751	3.4	4.3
	"Corpus Uteri"	"27020"	"Maryland"	"24"	"2019"	"2019"	140	3122480	3.2	4.5
	"Corpus Uteri"	"27020"	"Massachusetts"	"25"	"2017"	"2017"	135	3532606	2.7	3.8
	"Corpus Uteri"	"27020"	"Massachusetts"	"25"	"2019"	"2019"	159	3548380	3.0	4.5
	"Corpus Uteri"	"27020"	"Michigan"	"26"	"2017"	"2017"	217	5064544	3.0	4.3
	"Corpus Uteri"	"27020"	"Michigan"	"26"	"2019"	"2019"	249	5066743	3.4	4.9
	"Corpus Uteri"	"27020"	"Minnesota"	"27"	"2017"	"2017"	117	2796520	3.2	4.2
	"Corpus Uteri"	"27020"	"Minnesota"	"27"	"2019"	"2019"	129	2830663	3.3	4.6
	"Corpus Uteri"	"27020"	"Mississippi"	"28"	"2017"	"2017"	33	1539672	1.6	2.1
	"Corpus Uteri"	"27020"	"Mississippi"	"28"	"2019"	"2019"	55	1534587	2.6	3.6
	"Corpus Uteri"	"27020"	"Missouri"	"29"	"2017"	"2017"	124	3111381	2.8	4.0
	"Corpus Uteri"	"27020"	"Missouri"	"29"	"2019"	"2019"	125	3127846	2.8	4.0
	"Corpus Uteri"	"27020"	"Montana"	"30"	"2017"	"2017"	16	523400	2.0	3.1
	"Corpus Uteri"	"27020"	"Montana"	"30"	"2019"	"2019"	18	531486	2.2	3.4
	"Corpus Uteri"	"27020"	"Nebraska"	"31"	"2017"	"2017"	34	960422	3.0	3.5
	"Corpus Uteri"	"27020"	"Nebraska"	"31"	"2019"	"2019"	39	967601	3.3	4.0
	"Corpus Uteri"	"27020"	"Nevada"	"32"	"2017"	"2017"	35	1480860	1.9	2.4
	"Corpus Uteri"	"27020"	"Nevada"	"32"	"2019"	"2019"	33	1541266	1.6	2.1
	"Corpus Uteri"	"27020"	"New Hampshire"	"33"	"2017"	"2017"	38	681670	3.8	5.6
	"Corpus Uteri"	"27020"	"New Hampshire"	"33"	"2019"	"2019"	36	686814	3.3	5.2
	"Corpus Uteri"	"27020"	"New Jersey"	"34"	"2017"	"2017"	169	4547537	2.7	3.7
	"Corpus Uteri"	"27020"	"New Jersey"	"34"	"2019"	"2019"	206	4545698	3.1	4.5
	"Corpus Uteri"	"27020"	"New Mexico"	"35"	"2017"	"2017"	32	1056754	2.1	3.0
	"Corpus Uteri"	"27020"	"New Mexico"	"35"	"2019"	"2019"	28	1060654	1.8	2.6
	"Corpus Uteri"	"27020"	"New York"	"36"	"2017"	"2017"	429	10080806	3.1	4.3
	"Corpus Uteri"	"27020"	"New York"	"36"	"2019"	"2019"	464	10012065	3.3	4.6
	"Corpus Uteri"	"27020"	"North Carolina"	"37"	"2017"	"2017"	239	5274812	3.3	4.5
	"Corpus Uteri"	"27020"	"North Carolina"	"37"	"2019"	"2019"	251	5393755	3.4	4.7
	"Corpus Uteri"	"27020"	"North Dakota"	"38"	"2019"	"2019"	16	372678	3.2	4.3
	"Corpus Uteri"	"27020"	"Ohio"	"39"	"2017"	"2017"	291	5949075	3.4	4.9
	"Corpus Uteri"	"27020"	"Ohio"	"39"	"2019"	"2019"	284	5962634	3.3	4.8
	"Corpus Uteri"	"27020"	"Oklahoma"	"40"	"2017"	"2017"	60	1984912	2.5	3.0
	"Corpus Uteri"	"27020"	"Oklahoma"	"40"	"2019"	"2019"	82	1999160	3.1	4.1
	"Corpus Uteri"	"27020"	"Oregon"	"41"	"2017"	"2017"	82	2091485	2.8	3.9
	"Corpus Uteri"	"27020"	"Oregon"	"41"	"2019"	"2019"	79	2126006	2.6	3.7
	"Corpus Uteri"	"27020"	"Pennsylvania"	"42"	"2017"	"2017"	309	6528507	3.2	4.7
	"Corpus Uteri"	"27020"	"Pennsylvania"	"42"	"2019"	"2019"	353	6526489	3.4	5.4
	"Corpus Uteri"	"27020"	"Rhode Island"	"44"	"2017"	"2017"	29	542884	3.5	5.3
	"Corpus Uteri"	"27020"	"Rhode Island"	"44"	"2019"	"2019"	27	543197	3.6	5.0
	"Corpus Uteri"	"27020"	"South Carolina"	"45"	"2017"	"2017"	110	2588374	3.0	4.2
	"Corpus Uteri"	"27020"	"South Carolina"	"45"	"2019"	"2019"	132	2659704	3.4	5.0
	"Corpus Uteri"	"27020"	"South Dakota"	"46"	"2017"	"2017"	20	432891	3.7	4.6
	"Corpus Uteri"	"27020"	"South Dakota"	"46"	"2019"	"2019"	22	439553	3.1	5.0
	"Corpus Uteri"	"27020"	"Tennessee"	"47"	"2017"	"2017"	102	3438006	2.2	3.0
	"Corpus Uteri"	"27020"	"Tennessee"	"47"	"2019"	"2019"	119	3498429	2.4	3.4
	"Corpus Uteri"	"27020"	"Texas"	"48"	"2017"	"2017"	345	14238026	2.3	2.4
	"Corpus Uteri"	"27020"	"Texas"	"48"	"2019"	"2019"	427	14591903	2.6	2.9
	"Corpus Uteri"	"27020"	"Utah"	"49"	"2017"	"2017"	28	1540562	1.9	1.8
	"Corpus Uteri"	"27020"	"Utah"	"49"	"2019"	"2019"	45	1589845	3.0	2.8
	"Corpus Uteri"	"27020"	"Vermont"	"50"	"2017"	"2017"	23	316438	4.8	7.3
	"Corpus Uteri"	"27020"	"Vermont"	"50"	"2019"	"2019"	18	315738	3.5	5.7
	"Corpus Uteri"	"27020"	"Virginia"	"51"	"2017"	"2017"	142	4302531	2.5	3.3
	"Corpus Uteri"	"27020"	"Virginia"	"51"	"2019"	"2019"	195	4345858	3.3	4.5
	"Corpus Uteri"	"27020"	"Washington"	"53"	"2017"	"2017"	131	3712553	2.8	3.5
	"Corpus Uteri"	"27020"	"Washington"	"53"	"2019"	"2019"	152	3802546	3.1	4.0
	"Corpus Uteri"	"27020"	"West Virginia"	"54"	"2017"	"2017"	31	918498	2.1	3.4
	"Corpus Uteri"	"27020"	"West Virginia"	"54"	"2019"	"2019"	40	906103	2.7	4.4
	"Corpus Uteri"	"27020"	"Wisconsin"	"55"	"2017"	"2017"	128	2911984	3.1	4.4
	"Corpus Uteri"	"27020"	"Wisconsin"	"55"	"2019"	"2019"	140	2925732	3.3	4.8
	"Esophagus"	"21010"	"Alabama"	"01"	"2017"	"2017"	254	4877989	4.0	5.2
	"Esophagus"	"21010"	"Alabama"	"01"	"2019"	"2019"	244	4907965	3.7	5.0
	"Esophagus"	"21010"	"Alaska"	"02"	"2017"	"2017"	35	740983	4.8	4.7
	"Esophagus"	"21010"	"Alaska"	"02"	"2019"	"2019"	36	733603	5.4	4.9
	"Esophagus"	"21010"	"Arizona"	"04"	"2017"	"2017"	333	7048088	3.7	4.7
	"Esophagus"	"21010"	"Arizona"	"04"	"2019"	"2019"	334	7291843	3.5	4.6
	"Esophagus"	"21010"	"Arkansas"	"05"	"2017"	"2017"	128	3003855	3.4	4.3
	"Esophagus"	"21010"	"Arkansas"	"05"	"2019"	"2019"	146	3020985	3.6	4.8
	"Esophagus"	"21010"	"California"	"06"	"2017"	"2017"	1309	39337785	3.0	3.3
	"Esophagus"	"21010"	"California"	"06"	"2019"	"2019"	1368	39437610	3.0	3.5
	"Esophagus"	"21010"	"Colorado"	"08"	"2017"	"2017"	228	5617421	3.8	4.1
	"Esophagus"	"21010"	"Colorado"	"08"	"2019"	"2019"	204	5758486	3.1	3.5
	"Esophagus"	"21010"	"Connecticut"	"09"	"2017"	"2017"	159	3575324	3.3	4.4
	"Esophagus"	"21010"	"Connecticut"	"09"	"2019"	"2019"	200	3566022	4.0	5.6
	"Esophagus"	"21010"	"Delaware"	"10"	"2017"	"2017"	51	957942	3.8	5.3
	"Esophagus"	"21010"	"Delaware"	"10"	"2019"	"2019"	35	976668	2.4	3.6
	"Esophagus"	"21010"	"District of Columbia"	"11"	"2017"	"2017"	18	697079	2.7	2.6
	"Esophagus"	"21010"	"District of Columbia"	"11"	"2019"	"2019"	17	708253	2.4	2.4
	"Esophagus"	"21010"	"Florida"	"12"	"2017"	"2017"	1107	20977089	3.5	5.3
	"Esophagus"	"21010"	"Florida"	"12"	"2019"	"2019"	1168	21492056	3.5	5.4
	"Esophagus"	"21010"	"Georgia"	"13"	"2017"	"2017"	403	10417031	3.5	3.9
	"Esophagus"	"21010"	"Georgia"	"13"	"2019"	"2019"	413	10628020	3.4	3.9
	"Esophagus"	"21010"	"Hawaii"	"15"	"2017"	"2017"	60	1425763	3.2	4.2
	"Esophagus"	"21010"	"Hawaii"	"15"	"2019"	"2019"	50	1415615	2.7	3.5
	"Esophagus"	"21010"	"Idaho"	"16"	"2017"	"2017"	98	1719745	5.0	5.7
	"Esophagus"	"21010"	"Idaho"	"16"	"2019"	"2019"	89	1789060	4.1	5.0
	"Esophagus"	"21010"	"Illinois"	"17"	"2017"	"2017"	622	12779893	4.0	4.9
	"Esophagus"	"21010"	"Illinois"	"17"	"2019"	"2019"	652	12667017	4.1	5.1
	"Esophagus"	"21010"	"Indiana"	"18"	"2017"	"2017"	402	6662068	4.9	6.0
	"Esophagus"	"21010"	"Indiana"	"18"	"2019"	"2019"	386	6731010	4.7	5.7
	"Esophagus"	"21010"	"Iowa"	"19"	"2017"	"2017"	200	3143734	4.9	6.4
	"Esophagus"	"21010"	"Iowa"	"19"	"2019"	"2019"	183	3159596	4.4	5.8
	"Esophagus"	"21010"	"Kansas"	"20"	"2017"	"2017"	162	2910892	4.6	5.6
	"Esophagus"	"21010"	"Kansas"	"20"	"2019"	"2019"	161	2912635	4.3	5.5
	"Esophagus"	"21010"	"Kentucky"	"21"	"2017"	"2017"	279	4455590	5.0	6.3
	"Esophagus"	"21010"	"Kentucky"	"21"	"2019"	"2019"	245	4472345	4.3	5.5
	"Esophagus"	"21010"	"Louisiana"	"22"	"2017"	"2017"	215	4673673	3.8	4.6
	"Esophagus"	"21010"	"Louisiana"	"22"	"2019"	"2019"	207	4658285	3.6	4.4
	"Esophagus"	"21010"	"Maine"	"23"	"2017"	"2017"	112	1335743	5.6	8.4
	"Esophagus"	"21010"	"Maine"	"23"	"2019"	"2019"	140	1345770	6.7	10.4
	"Esophagus"	"21010"	"Maryland"	"24"	"2017"	"2017"	251	6028186	3.5	4.2
	"Esophagus"	"21010"	"Maryland"	"24"	"2019"	"2019"	301	6054954	4.0	5.0
